Spectre[*][*]		Canal[*][*]		Energy[keV][*]
Co57				39				120
Co60				396				1173
Co60				450				1332
Cs137				218				662
Na22				168				511
Na22				430				1274
Pb120				12				46.5
#Slope line = 2.93 +/- 0.01316
