Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 13 400 2.0 410 120 1.000  20 1.0E-1
22.11.2013, 16:21

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
386.63 1.000576 4.232581E-3 0.672417  3.394E-5 8.45009 26 400.00
386.64 1.000576 4.199424E-3 0.672305  3.381E-5 8.44962 56 400.20
386.64 1.000576 4.354570E-3 0.672262  3.381E-5 8.44763 86 400.60
386.66 1.000576 4.091021E-3 0.672343  3.403E-5 8.44739 116 401.25
386.68 1.000576 4.186726E-3 0.672097  3.385E-5 8.44649 146 401.95
386.71 1.000576 4.487220E-3 0.672421  3.386E-5 8.44647 176 402.80
386.75 1.000576 5.026468E-3 0.672391  3.392E-5 8.44672 206 403.65
386.81 1.000576 4.006833E-3 0.672361  3.384E-5 8.44631 235 404.65
386.92 1.000576 4.422391E-3 0.672122  3.390E-5 8.44478 265 405.65
387.03 1.000576 4.435273E-3 0.672470  3.398E-5 8.44501 295 406.70
387.20 1.000576 4.546520E-3 0.672066  3.385E-5 8.44573 325 407.75
387.30 1.000576 4.171487E-3 0.672006  3.390E-5 8.44552 355 408.50
387.48 1.000576 4.502436E-3 0.672117  3.388E-5 8.44525 385 409.05
387.72 1.000576 4.128583E-3 0.672035  3.405E-5 8.44440 414 409.45
387.89 1.000576 4.704264E-3 0.672095  3.387E-5 8.44555 444 409.70
388.12 1.000576 4.387834E-3 0.671919  3.401E-5 8.44522 474 409.95
388.36 1.000576 4.183199E-3 0.672084  3.388E-5 8.44581 504 410.05
388.63 1.000576 4.077629E-3 0.672136  3.393E-5 8.44546 534 410.15
388.84 1.000576 4.542886E-3 0.672199  3.389E-5 8.44559 564 410.20
389.08 1.000576 4.195092E-3 0.671862  3.386E-5 8.44543 593 410.25
389.31 1.000576 4.383080E-3 0.671890  3.387E-5 8.44527 623 410.30
389.56 1.000576 4.291341E-3 0.672038  3.391E-5 8.44593 653 410.30
389.79 1.000576 4.643103E-3 0.672058  3.393E-5 8.44377 683 410.30
390.01 1.000576 4.683843E-3 0.671758  3.395E-5 8.44298 713 410.30
390.22 1.000576 4.759230E-3 0.671855  3.403E-5 8.44135 742 410.30
390.42 1.000576 4.241902E-3 0.671908  3.407E-5 8.43976 772 410.30
390.63 1.000576 4.617959E-3 0.671698  3.376E-5 8.44065 802 410.30
390.83 1.000576 4.307019E-3 0.671708  3.398E-5 8.43809 832 410.25
391.01 1.000576 4.603178E-3 0.671673  3.404E-5 8.43917 862 410.20
391.20 1.000576 4.685643E-3 0.671569  3.391E-5 8.43688 892 410.25
391.37 1.000576 4.797152E-3 0.671717  3.414E-5 8.43827 921 410.20
391.53 1.000576 4.726188E-3 0.671351  3.395E-5 8.43696 951 410.20
391.68 1.000576 4.942560E-3 0.671457  3.392E-5 8.43715 981 410.20
391.84 1.000576 4.607251E-3 0.671595  3.395E-5 8.43621 1011 410.20
391.98 1.000576 4.551692E-3 0.671393  3.395E-5 8.43636 1041 410.20
392.11 1.000576 4.921535E-3 0.671279  3.380E-5 8.43716 1070 410.15
392.23 1.000576 5.023092E-3 0.671357  3.397E-5 8.43535 1100 410.10
392.36 1.000576 4.670525E-3 0.671358  3.397E-5 8.43461 1130 410.10
392.48 1.000576 4.660053E-3 0.671574  3.400E-5 8.43328 1160 410.10
392.60 1.000576 4.775831E-3 0.671292  3.398E-5 8.43394 1190 410.10
392.69 1.000576 4.881885E-3 0.671294  3.389E-5 8.43448 1219 410.10
392.79 1.000576 5.033759E-3 0.671216  3.398E-5 8.43368 1249 410.10
392.88 1.000576 4.779538E-3 0.671289  3.387E-5 8.43356 1279 410.05
392.96 1.000576 4.943942E-3 0.671171  3.397E-5 8.43308 1309 410.00
393.05 1.000576 4.895270E-3 0.671221  3.410E-5 8.43095 1339 410.00
393.12 1.000576 4.822180E-3 0.671376  3.399E-5 8.43300 1368 410.00
393.21 1.000576 5.117689E-3 0.671153  3.401E-5 8.43155 1398 409.95
393.28 1.000576 5.086202E-3 0.671221  3.394E-5 8.43184 1428 410.00
393.36 1.000576 4.744508E-3 0.670988  3.393E-5 8.43087 1458 410.00
393.43 1.000576 5.060595E-3 0.671188  3.388E-5 8.43023 1488 410.00
393.50 1.000576 4.786346E-3 0.670973  3.406E-5 8.42965 1517 410.00
393.57 1.000576 5.320580E-3 0.671132  3.418E-5 8.43034 1547 410.10
393.67 1.000576 4.487327E-3 0.670943  3.400E-5 8.42910 1577 410.10
393.71 1.000576 5.168837E-3 0.671233  3.404E-5 8.43045 1607 410.10
393.78 1.000576 4.922739E-3 0.671324  3.400E-5 8.42887 1637 410.10
393.84 1.000576 4.818767E-3 0.671123  3.401E-5 8.42979 1666 410.10
