Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 19 430 2.0 440 120 1.000  20 1.0E-1
23.11.2013, 15:27

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
415.95 1.000576 1.240088E-2 0.665360  3.406E-5 8.34315 26 430.00
415.95 1.000576 1.264467E-2 0.665191  3.409E-5 8.34224 56 430.25
415.95 1.000576 1.255089E-2 0.665399  3.412E-5 8.34377 86 430.80
415.97 1.000576 1.258037E-2 0.665043  3.409E-5 8.34299 116 431.45
415.99 1.000576 1.232703E-2 0.665240  3.409E-5 8.34345 146 432.25
416.03 1.000576 1.254925E-2 0.665327  3.428E-5 8.34333 175 433.10
416.09 1.000576 1.244760E-2 0.665151  3.418E-5 8.34414 205 433.90
416.18 1.000576 1.250450E-2 0.665104  3.412E-5 8.34290 235 434.80
416.29 1.000576 1.280948E-2 0.665457  3.414E-5 8.34225 265 435.75
416.43 1.000576 1.256621E-2 0.665629  3.421E-5 8.34296 295 436.80
416.60 1.000576 1.253218E-2 0.665303  3.413E-5 8.34303 324 437.80
416.81 1.000576 1.262051E-2 0.665163  3.416E-5 8.34221 354 438.60
417.05 1.000576 1.276123E-2 0.664873  3.426E-5 8.34238 384 439.15
417.31 1.000576 1.268585E-2 0.665007  3.419E-5 8.34282 414 439.50
417.59 1.000576 1.307859E-2 0.664976  3.424E-5 8.34301 444 439.75
417.89 1.000576 1.292719E-2 0.664626  3.427E-5 8.34283 473 439.95
418.19 1.000576 1.348926E-2 0.664606  3.423E-5 8.34197 503 440.15
418.50 1.000576 1.324752E-2 0.664336  3.432E-5 8.34155 533 440.20
418.80 1.000576 1.337782E-2 0.664406  3.410E-5 8.34305 563 440.25
419.11 1.000576 1.398937E-2 0.664136  3.424E-5 8.34262 593 440.30
419.40 1.000576 1.345983E-2 0.664037  3.423E-5 8.33980 622 440.30
419.68 1.000576 1.378478E-2 0.663907  3.422E-5 8.34147 652 440.30
419.96 1.000576 1.401968E-2 0.663763  3.419E-5 8.33898 682 440.30
420.23 1.000576 1.398948E-2 0.663836  3.425E-5 8.33790 712 440.30
420.49 1.000576 1.425713E-2 0.663361  3.419E-5 8.33783 742 440.30
420.73 1.000576 1.454637E-2 0.663347  3.419E-5 8.33684 771 440.30
420.97 1.000576 1.446500E-2 0.663709  3.421E-5 8.33682 801 440.25
421.20 1.000576 1.487611E-2 0.663233  3.412E-5 8.33690 831 440.20
