Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 11 390 2.0 400 120 1.000  20 1.0E-1
22.11.2013, 08:39

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
377.25 1.000576 3.721547E-3 0.674939  3.391E-5 8.47746 26 390.05
377.25 1.000576 3.936174E-3 0.675015  3.383E-5 8.47663 56 390.35
377.25 1.000576 3.463766E-3 0.674785  3.399E-5 8.47550 86 390.80
377.26 1.000576 3.615409E-3 0.674938  3.387E-5 8.47397 116 391.40
377.28 1.000576 3.418155E-3 0.675073  3.379E-5 8.47345 146 392.10
377.32 1.000576 3.454632E-3 0.674826  3.393E-5 8.47266 176 393.00
377.37 1.000576 3.656128E-3 0.674702  3.383E-5 8.47274 206 393.85
377.43 1.000576 3.578462E-3 0.674843  3.384E-5 8.47297 236 394.80
377.51 1.000576 3.638604E-3 0.674685  3.386E-5 8.47331 266 395.80
377.62 1.000576 3.679733E-3 0.675012  3.397E-5 8.47262 296 396.75
377.74 1.000576 3.342954E-3 0.674931  3.379E-5 8.47197 325 397.70
377.90 1.000576 3.406557E-3 0.674791  3.390E-5 8.47212 355 398.55
378.08 1.000576 3.215518E-3 0.674766  3.401E-5 8.47118 385 399.10
378.27 1.000576 3.320323E-3 0.674961  3.384E-5 8.47280 415 399.50
378.48 1.000576 3.315588E-3 0.674526  3.378E-5 8.47128 445 399.80
378.70 1.000576 3.367566E-3 0.674840  3.396E-5 8.47161 475 400.05
378.92 1.000576 3.458106E-3 0.674778  3.390E-5 8.47097 505 400.25
379.17 1.000576 3.129283E-3 0.675111  3.385E-5 8.47083 535 400.35
379.41 1.000576 3.638818E-3 0.674775  3.398E-5 8.47183 565 400.40
379.64 1.000576 3.593092E-3 0.674657  3.389E-5 8.47043 595 400.50
379.87 1.000576 3.453721E-3 0.674680  3.382E-5 8.47130 624 400.55
380.10 1.000576 3.494202E-3 0.674548  3.381E-5 8.47036 654 400.55
380.32 1.000576 3.640287E-3 0.674639  3.393E-5 8.47163 684 400.55
380.54 1.000576 3.926236E-3 0.674592  3.386E-5 8.46976 714 400.55
380.75 1.000576 3.799965E-3 0.674538  3.398E-5 8.46896 744 400.55
380.97 1.000576 3.402169E-3 0.673987  3.387E-5 8.46831 774 400.50
381.17 1.000576 3.624815E-3 0.674309  3.393E-5 8.46683 804 400.50
381.36 1.000576 3.491577E-3 0.674407  3.405E-5 8.46616 834 400.40
381.55 1.000576 3.311083E-3 0.674176  3.387E-5 8.46758 864 400.40
381.73 1.000576 3.360212E-3 0.674136  3.387E-5 8.46436 894 400.40
381.89 1.000576 3.677468E-3 0.673811  3.393E-5 8.46571 923 400.35
382.04 1.000576 3.789969E-3 0.674311  3.397E-5 8.46568 953 400.30
382.21 1.000576 3.625079E-3 0.674020  3.389E-5 8.46456 983 400.25
382.35 1.000576 3.523787E-3 0.674144  3.391E-5 8.46447 1013 400.20
382.48 1.000576 3.551643E-3 0.673873  3.389E-5 8.46329 1043 400.20
382.62 1.000576 3.636624E-3 0.674148  3.396E-5 8.46362 1073 400.20
382.74 1.000576 4.109201E-3 0.673940  3.397E-5 8.46225 1103 400.20
382.87 1.000576 3.853732E-3 0.673807  3.398E-5 8.46227 1133 400.10
382.98 1.000576 3.808900E-3 0.673996  3.396E-5 8.46302 1163 400.10
383.08 1.000576 3.890919E-3 0.673944  3.397E-5 8.46169 1193 400.10
383.18 1.000576 4.075166E-3 0.674077  3.396E-5 8.46160 1222 400.10
383.30 1.000576 3.077254E-3 0.674190  3.391E-5 8.46110 1252 400.05
383.42 1.000576 3.738391E-3 0.673937  3.382E-5 8.46041 1282 400.05
383.52 1.000576 3.852330E-3 0.674053  3.401E-5 8.46013 1312 400.00
383.58 1.000576 4.182438E-3 0.673744  3.390E-5 8.46140 1342 400.00
383.63 1.000576 3.885841E-3 0.674049  3.397E-5 8.46061 1372 400.00
383.72 1.000576 3.943281E-3 0.673871  3.396E-5 8.46045 1402 400.00
383.83 1.000576 3.715029E-3 0.673756  3.386E-5 8.45846 1432 400.05
383.88 1.000576 3.507547E-3 0.673695  3.386E-5 8.45838 1462 400.00
383.95 1.000576 4.029252E-3 0.673895  3.405E-5 8.45925 1492 400.05
384.03 1.000576 3.813019E-3 0.673663  3.385E-5 8.45805 1521 400.05
384.09 1.000576 3.821279E-3 0.673688  3.401E-5 8.45775 1551 400.10
384.16 1.000576 3.970274E-3 0.673790  3.402E-5 8.45846 1581 400.00
384.21 1.000576 3.682003E-3 0.673710  3.406E-5 8.45735 1611 400.00
384.29 1.000576 3.769414E-3 0.673651  3.392E-5 8.45777 1641 400.00
384.34 1.000576 3.487824E-3 0.673758  3.383E-5 8.45727 1671 400.00
384.43 1.000576 3.999017E-3 0.673560  3.394E-5 8.45758 1701 400.00
384.48 1.000576 3.921096E-3 0.673629  3.377E-5 8.45698 1731 400.00
384.52 1.000576 4.078808E-3 0.673699  3.394E-5 8.45790 1761 400.00
384.56 1.000576 3.975514E-3 0.673552  3.397E-5 8.45669 1791 400.00
384.61 1.000576 4.070967E-3 0.673823  3.390E-5 8.45719 1820 400.00
384.65 1.000576 3.726168E-3 0.673789  3.390E-5 8.45612 1850 400.00
384.69 1.000576 4.193163E-3 0.673360  3.390E-5 8.45572 1880 400.00
384.73 1.000576 3.541783E-3 0.673651  3.393E-5 8.45551 1910 400.00
384.78 1.000576 4.104721E-3 0.673632  3.393E-5 8.45564 1940 400.00
384.82 1.000576 3.759749E-3 0.673538  3.391E-5 8.45531 1970 400.00
