Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 21 440 2.0 450 120 1.000  20 1.0E-1
23.11.2013, 23:09

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
436.01 1.000576 2.001608E-2 0.653268  3.488E-5 8.28208 2232 450.00
436.03 1.000576 2.029190E-2 0.653112  3.483E-5 8.28169 2261 450.00
436.06 1.000576 1.971763E-2 0.653019  3.464E-5 8.28197 2291 450.00
436.08 1.000576 2.053662E-2 0.653388  3.478E-5 8.28124 2321 450.00
436.11 1.000576 2.026315E-2 0.653190  3.480E-5 8.28040 2351 450.00
436.13 1.000576 2.011112E-2 0.653064  3.476E-5 8.28047 2381 450.00
436.16 1.000576 1.951555E-2 0.653259  3.475E-5 8.28047 2410 450.00
436.18 1.000576 2.026678E-2 0.653066  3.470E-5 8.28112 2440 450.00
436.21 1.000576 2.006380E-2 0.652902  3.483E-5 8.27978 2470 450.00
436.22 1.000576 2.027301E-2 0.652779  3.478E-5 8.28092 2500 450.00
436.24 1.000576 2.001592E-2 0.652881  3.472E-5 8.28028 2530 450.00
436.26 1.000576 2.036193E-2 0.652716  3.478E-5 8.28055 2559 450.00
436.27 1.000576 2.016911E-2 0.652833  3.480E-5 8.27981 2589 450.00
436.28 1.000576 2.025267E-2 0.653080  3.482E-5 8.28188 2619 450.00
436.30 1.000576 1.998928E-2 0.652774  3.476E-5 8.27941 2649 450.00
436.32 1.000576 2.007881E-2 0.652794  3.475E-5 8.27950 2679 450.00
436.34 1.000576 2.034500E-2 0.652742  3.478E-5 8.27938 2708 450.00
436.37 1.000576 2.038517E-2 0.652608  3.480E-5 8.27926 2738 450.00
436.38 1.000576 1.977931E-2 0.652386  3.458E-5 8.28020 2768 450.00
436.40 1.000576 2.017361E-2 0.652948  3.487E-5 8.27904 2798 450.00
436.42 1.000576 2.020946E-2 0.652958  3.478E-5 8.27836 2828 450.00
436.42 1.000576 1.999029E-2 0.652621  3.476E-5 8.27876 2857 450.00
436.43 1.000576 2.024216E-2 0.652361  3.476E-5 8.27869 2887 450.00
436.48 1.000576 2.026223E-2 0.652416  3.477E-5 8.27676 2917 450.00
436.45 1.000576 2.019326E-2 0.652690  3.469E-5 8.27667 2947 450.00
436.47 1.000576 2.023000E-2 0.652761  3.476E-5 8.27780 2977 450.00
436.52 1.000576 2.054307E-2 0.652697  3.482E-5 8.27817 3006 450.00
436.56 1.000576 2.040988E-2 0.652537  3.480E-5 8.27788 3036 450.00
436.55 1.000576 2.020680E-2 0.652567  3.485E-5 8.27795 3066 450.00
436.56 1.000576 1.998840E-2 0.652585  3.469E-5 8.27678 3096 450.00
436.57 1.000576 1.998454E-2 0.652416  3.471E-5 8.27714 3126 450.00
436.58 1.000576 2.047348E-2 0.652588  3.479E-5 8.27850 3155 450.00
436.58 1.000576 2.046517E-2 0.652667  3.481E-5 8.27792 3185 450.00
436.62 1.000576 2.017837E-2 0.652630  3.473E-5 8.27682 3215 450.00
436.60 1.000576 2.059103E-2 0.652452  3.485E-5 8.27751 3245 450.00
436.64 1.000576 2.048588E-2 0.652577  3.484E-5 8.27736 3275 450.00
436.64 1.000576 2.049861E-2 0.652333  3.468E-5 8.27675 3304 450.00
436.65 1.000576 2.023380E-2 0.652732  3.478E-5 8.27800 3334 450.00
436.65 1.000576 2.044058E-2 0.652398  3.482E-5 8.27677 3364 450.00
436.66 1.000576 2.027376E-2 0.652648  3.476E-5 8.27668 3394 449.95
436.66 1.000576 2.036954E-2 0.652098  3.485E-5 8.27649 3424 450.00
436.68 1.000576 2.033268E-2 0.652415  3.482E-5 8.27705 3453 450.00
436.68 1.000576 2.027437E-2 0.652419  3.482E-5 8.27737 3483 450.00
436.68 1.000576 2.033341E-2 0.652369  3.471E-5 8.27843 3513 450.00
436.65 1.000576 2.016496E-2 0.652484  3.468E-5 8.27622 3543 450.00
436.70 1.000576 2.037268E-2 0.652475  3.469E-5 8.27674 3573 450.00
436.70 1.000576 2.035653E-2 0.652477  3.478E-5 8.27664 3602 450.00
436.71 1.000576 2.006321E-2 0.652599  3.482E-5 8.27550 3632 450.00
436.72 1.000576 2.029300E-2 0.652404  3.481E-5 8.27645 3662 450.00
436.72 1.000576 2.023654E-2 0.652281  3.473E-5 8.27633 3692 450.00
436.72 1.000576 2.030297E-2 0.652647  3.467E-5 8.27600 3722 450.00
436.72 1.000576 2.018988E-2 0.652438  3.469E-5 8.27686 3751 450.00
436.73 1.000576 2.012637E-2 0.652459  3.474E-5 8.27585 3781 450.00
436.73 1.000576 2.048000E-2 0.652451  3.473E-5 8.27681 3811 450.00
436.74 1.000576 2.041883E-2 0.652415  3.477E-5 8.27508 3841 450.00
436.74 1.000576 2.006151E-2 0.652719  3.472E-5 8.27621 3871 450.00
436.74 1.000576 2.033193E-2 0.652503  3.478E-5 8.27679 3900 450.00
436.74 1.000576 2.050850E-2 0.652339  3.464E-5 8.27557 3930 450.00
436.75 1.000576 2.031852E-2 0.652354  3.473E-5 8.27635 3960 450.00
436.75 1.000576 2.049458E-2 0.652401  3.479E-5 8.27613 3990 450.00
436.76 1.000576 2.021277E-2 0.652479  3.473E-5 8.27639 4020 450.00
436.76 1.000576 2.007792E-2 0.652182  3.472E-5 8.27480 4049 450.00
436.79 1.000576 2.044136E-2 0.652329  3.476E-5 8.27478 4079 450.00
436.80 1.000576 2.042092E-2 0.652367  3.478E-5 8.27544 4109 450.00
436.81 1.000576 2.052436E-2 0.652279  3.471E-5 8.27674 4139 450.00
436.82 1.000576 2.015896E-2 0.652492  3.489E-5 8.27488 4169 450.00
436.77 1.000576 2.031850E-2 0.652308  3.478E-5 8.27552 4198 450.00
436.84 1.000576 2.042545E-2 0.652540  3.486E-5 8.27499 4228 450.00
436.80 1.000576 1.999314E-2 0.652167  3.460E-5 8.27512 4258 450.00
436.83 1.000576 2.028248E-2 0.652295  3.477E-5 8.27508 4288 450.00
436.77 1.000576 2.041302E-2 0.652331  3.467E-5 8.27591 4318 450.00
436.80 1.000576 2.007868E-2 0.652165  3.476E-5 8.27650 4347 450.00
436.77 1.000576 2.021284E-2 0.652388  3.489E-5 8.27636 4377 450.00
436.78 1.000576 2.033810E-2 0.652304  3.484E-5 8.27500 4407 450.00
436.77 1.000576 2.012012E-2 0.652326  3.476E-5 8.27545 4437 450.00
436.78 1.000576 1.997989E-2 0.652289  3.495E-5 8.27555 4467 450.00
436.78 1.000576 2.053031E-2 0.652407  3.486E-5 8.27573 4496 450.00
436.80 1.000576 2.066111E-2 0.652137  3.476E-5 8.27556 4526 450.00
436.80 1.000576 2.045320E-2 0.652317  3.478E-5 8.27605 4556 450.00
436.79 1.000576 2.025961E-2 0.652169  3.482E-5 8.27506 4586 450.00
436.79 1.000576 2.038722E-2 0.652280  3.477E-5 8.27561 4616 450.00
436.80 1.000576 2.028816E-2 0.652392  3.481E-5 8.27566 4645 450.00
436.79 1.000576 2.063255E-2 0.652376  3.478E-5 8.27520 4675 450.00
436.80 1.000576 2.033992E-2 0.652378  3.470E-5 8.27530 4705 450.00
436.80 1.000576 2.050240E-2 0.652403  3.478E-5 8.27496 4735 450.00
436.80 1.000576 2.032653E-2 0.652206  3.489E-5 8.27538 4765 450.00
436.80 1.000576 2.049983E-2 0.652395  3.483E-5 8.27548 4794 450.10
436.80 1.000576 2.017897E-2 0.652322  3.468E-5 8.27577 4824 450.00
436.78 1.000576 2.042923E-2 0.652098  3.477E-5 8.27546 4854 450.00
436.77 1.000576 2.043382E-2 0.652256  3.486E-5 8.27472 4884 450.00
436.77 1.000576 2.050394E-2 0.652057  3.473E-5 8.27477 4914 450.00
436.75 1.000576 2.067661E-2 0.652257  3.491E-5 8.27656 4943 450.00
436.75 1.000576 2.026348E-2 0.652423  3.481E-5 8.27484 4973 450.00
436.74 1.000576 1.971348E-2 0.652883  3.469E-5 8.27367 5003 450.00
