Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 2 550 2.0 290 15 1.000  20 3.0E-1
20.11.2013, 14:40

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
485.86 1.000576 7.341212E-3 0.628162  1.095E-4 8.05573 2224 478.45
484.93 1.000576 7.514998E-3 0.628408  1.092E-4 8.05710 2254 477.45
484.03 1.000576 7.662512E-3 0.628708  1.094E-4 8.05874 2283 476.45
483.11 1.000576 7.699620E-3 0.628880  1.090E-4 8.05342 2313 475.45
482.20 1.000576 7.619463E-3 0.628971  1.087E-4 8.05131 2343 474.45
481.29 1.000576 7.692922E-3 0.629192  1.083E-4 8.04250 2373 473.45
480.34 1.000576 7.789234E-3 0.629476  1.093E-4 8.05516 2402 472.45
479.45 1.000576 7.866926E-3 0.629557  1.089E-4 8.04889 2432 471.50
478.51 1.000576 7.785299E-3 0.629669  1.088E-4 8.04525 2462 470.55
477.57 1.000576 8.089882E-3 0.629879  1.092E-4 8.04561 2491 469.55
476.67 1.000576 8.104894E-3 0.630165  1.090E-4 8.04558 2521 468.55
475.78 1.000576 8.183951E-3 0.630164  1.079E-4 8.04007 2551 467.55
474.88 1.000576 8.805817E-3 0.630305  1.087E-4 8.04041 2580 466.55
473.98 1.000576 8.553081E-3 0.630394  1.091E-4 8.04176 2610 465.55
473.09 1.000576 8.662809E-3 0.630543  1.086E-4 8.03912 2640 464.60
472.18 1.000576 8.763669E-3 0.630712  1.084E-4 8.03678 2670 463.60
471.28 1.000576 9.253900E-3 0.631193  1.073E-4 8.03045 2699 462.65
470.39 1.000576 9.381733E-3 0.631202  1.089E-4 8.03643 2729 461.65
469.50 1.000576 9.219703E-3 0.631341  1.075E-4 8.02565 2759 460.65
468.63 1.000576 9.616150E-3 0.631323  1.087E-4 8.03206 2788 459.65
467.73 1.000576 9.732213E-3 0.631615  1.087E-4 8.03668 2818 458.70
466.78 1.000576 1.004777E-2 0.631557  1.090E-4 8.02762 2848 457.75
465.89 1.000576 1.010510E-2 0.631631  1.074E-4 8.02291 2877 456.75
465.00 1.000576 1.022495E-2 0.631693  1.075E-4 8.02022 2907 455.75
464.11 1.000576 1.075456E-2 0.631776  1.090E-4 8.02850 2937 454.85
463.22 1.000576 1.112332E-2 0.632218  1.086E-4 8.02297 2967 453.85
462.37 1.000576 1.106590E-2 0.632385  1.088E-4 8.02344 2996 452.90
461.51 1.000576 1.132144E-2 0.632555  1.083E-4 8.02106 3026 451.90
460.60 1.000576 1.161257E-2 0.632805  1.085E-4 8.02085 3056 450.90
459.72 1.000576 1.179720E-2 0.633063  1.081E-4 8.01455 3085 449.90
458.82 1.000576 1.219165E-2 0.633251  1.087E-4 8.01622 3115 448.85
457.92 1.000576 1.257935E-2 0.633770  1.085E-4 8.01713 3145 447.80
457.02 1.000576 1.252084E-2 0.633945  1.085E-4 8.01625 3174 446.75
456.15 1.000576 1.327558E-2 0.634231  1.103E-4 8.02062 3204 445.75
455.31 1.000576 1.340522E-2 0.634427  1.063E-4 8.00647 3234 444.75
454.47 1.000576 1.382464E-2 0.634714  1.090E-4 8.01385 3263 443.75
453.53 1.000576 1.425300E-2 0.635192  1.079E-4 8.01066 3293 442.75
452.65 1.000576 1.448634E-2 0.635372  1.062E-4 8.00266 3323 441.75
451.78 1.000576 1.468664E-2 0.635935  1.068E-4 7.99242 3353 440.75
450.97 1.000576 1.503148E-2 0.636237  1.084E-4 8.00847 3382 439.75
450.01 1.000576 1.532512E-2 0.636640  1.073E-4 8.00179 3412 438.75
449.16 1.000576 1.574584E-2 0.637049  1.071E-4 7.99524 3442 437.75
448.24 1.000576 1.624596E-2 0.637599  1.074E-4 7.99413 3471 436.85
447.38 1.000576 1.657601E-2 0.637949  1.084E-4 8.00453 3501 435.85
446.51 1.000576 1.690976E-2 0.638444  1.124E-4 8.02136 3531 434.95
445.68 1.000576 1.744649E-2 0.638891  1.074E-4 7.99577 3560 433.95
444.81 1.000576 1.779128E-2 0.639380  1.082E-4 7.99624 3590 432.95
443.97 1.000576 1.832992E-2 0.639769  1.060E-4 7.98206 3620 431.95
443.10 1.000576 1.849365E-2 0.640195  1.072E-4 7.98346 3650 431.00
442.25 1.000576 1.880357E-2 0.640780  1.077E-4 7.99125 3679 430.05
441.41 1.000576 1.923087E-2 0.641336  1.072E-4 7.99202 3709 429.05
440.59 1.000576 1.957728E-2 0.642014  1.074E-4 7.99153 3739 428.05
