Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 23 450 2.0 290 999 1.000  20 1.0E-1
24.11.2013, 06:51

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
396.06 1.000576 7.806952E-3 0.673684  3.369E-5 8.26306 2232 378.55
395.31 1.000576 8.156380E-3 0.674075  3.368E-5 8.26342 2261 377.60
394.56 1.000576 7.710785E-3 0.674157  3.359E-5 8.26263 2291 376.70
393.81 1.000576 7.372949E-3 0.674376  3.367E-5 8.26151 2321 375.85
393.07 1.000576 7.395346E-3 0.674618  3.367E-5 8.26109 2351 375.00
392.32 1.000576 7.272477E-3 0.674830  3.351E-5 8.26070 2381 374.15
391.56 1.000576 7.154519E-3 0.674838  3.358E-5 8.25894 2410 373.30
390.81 1.000576 6.259549E-3 0.675488  3.350E-5 8.25913 2440 372.50
390.07 1.000576 6.641946E-3 0.675299  3.353E-5 8.25857 2470 371.75
389.33 1.000576 6.894360E-3 0.675735  3.355E-5 8.25830 2500 371.00
388.59 1.000576 6.679170E-3 0.675733  3.350E-5 8.25604 2530 370.25
387.85 1.000576 6.408990E-3 0.675858  3.352E-5 8.25676 2559 369.55
387.12 1.000576 6.344477E-3 0.676031  3.355E-5 8.25553 2589 368.85
386.39 1.000576 6.351554E-3 0.676171  3.344E-5 8.25406 2619 368.15
385.68 1.000576 6.187979E-3 0.676521  3.351E-5 8.25434 2649 367.45
384.97 1.000576 5.770249E-3 0.676631  3.345E-5 8.25312 2679 366.75
384.27 1.000576 5.736221E-3 0.676989  3.344E-5 8.25270 2708 366.05
383.56 1.000576 5.759782E-3 0.677354  3.348E-5 8.25125 2738 365.35
382.86 1.000576 5.404461E-3 0.677049  3.344E-5 8.25159 2768 364.65
382.16 1.000576 5.611676E-3 0.677196  3.339E-5 8.25106 2798 363.95
381.47 1.000576 5.604262E-3 0.677607  3.358E-5 8.25027 2828 363.25
380.79 1.000576 5.368029E-3 0.677529  3.350E-5 8.24949 2857 362.60
380.10 1.000576 5.509117E-3 0.677746  3.343E-5 8.24923 2887 362.00
379.42 1.000576 5.167455E-3 0.678303  3.356E-5 8.24796 2917 361.40
378.76 1.000576 5.832279E-3 0.678537  3.341E-5 8.24673 2947 360.75
378.08 1.000576 5.490092E-3 0.678161  3.337E-5 8.24658 2977 360.10
377.41 1.000576 5.250096E-3 0.678467  3.343E-5 8.24552 3006 359.60
376.76 1.000576 4.903695E-3 0.678492  3.334E-5 8.24553 3036 358.95
376.11 1.000576 4.827803E-3 0.678792  3.335E-5 8.24361 3066 358.40
375.48 1.000576 5.119387E-3 0.678859  3.348E-5 8.24363 3096 357.80
374.85 1.000576 4.889341E-3 0.678752  3.335E-5 8.24251 3126 357.20
374.20 1.000576 4.842938E-3 0.679201  3.343E-5 8.24178 3155 356.70
373.56 1.000576 4.668658E-3 0.679103  3.337E-5 8.24063 3185 356.10
372.95 1.000576 4.835273E-3 0.679244  3.332E-5 8.24053 3215 355.65
372.38 1.000576 5.222526E-3 0.679448  3.334E-5 8.24037 3245 355.15
371.76 1.000576 4.758714E-3 0.679506  3.344E-5 8.23891 3275 354.65
371.16 1.000576 4.808842E-3 0.679130  3.339E-5 8.23771 3304 354.20
370.56 1.000576 4.758212E-3 0.679853  3.334E-5 8.23664 3334 353.75
369.97 1.000576 4.650922E-3 0.679924  3.328E-5 8.23679 3364 353.25
369.38 1.000576 4.417064E-3 0.679999  3.328E-5 8.23651 3394 352.75
368.79 1.000576 4.866115E-3 0.680274  3.331E-5 8.23553 3424 352.30
368.22 1.000576 4.374082E-3 0.680098  3.320E-5 8.23404 3453 351.85
367.65 1.000576 4.477224E-3 0.680283  3.331E-5 8.23347 3483 351.35
367.09 1.000576 4.311183E-3 0.680579  3.337E-5 8.23375 3513 350.85
366.54 1.000576 4.468656E-3 0.680644  3.317E-5 8.23345 3543 350.45
365.99 1.000576 4.387091E-3 0.680727  3.339E-5 8.23139 3573 350.05
365.44 1.000576 4.244802E-3 0.680813  3.324E-5 8.23122 3602 349.65
364.90 1.000576 4.389733E-3 0.680894  3.328E-5 8.23022 3632 349.25
364.37 1.000576 4.273161E-3 0.680815  3.325E-5 8.22941 3662 348.85
363.80 1.000576 4.376780E-3 0.681187  3.331E-5 8.22950 3692 348.40
363.31 1.000576 4.545696E-3 0.681343  3.320E-5 8.22841 3722 348.00
362.79 1.000576 3.801494E-3 0.681311  3.326E-5 8.22810 3751 347.60
362.27 1.000576 4.297902E-3 0.681703  3.317E-5 8.22783 3781 347.25
361.77 1.000576 4.215117E-3 0.681618  3.331E-5 8.22694 3811 346.80
361.27 1.000576 4.237878E-3 0.681712  3.320E-5 8.22588 3841 346.35
360.77 1.000576 4.665150E-3 0.681722  3.323E-5 8.22531 3871 345.95
360.28 1.000576 4.386721E-3 0.681896  3.321E-5 8.22415 3900 345.50
359.75 1.000576 3.957866E-3 0.681789  3.330E-5 8.22232 3930 345.10
359.29 1.000576 4.017960E-3 0.682068  3.335E-5 8.22271 3960 344.70
358.81 1.000576 4.577209E-3 0.681885  3.326E-5 8.22336 3990 344.35
358.34 1.000576 4.215819E-3 0.682433  3.309E-5 8.22237 4020 343.95
357.87 1.000576 4.123560E-3 0.682413  3.311E-5 8.22159 4049 343.55
357.40 1.000576 4.145183E-3 0.682477  3.328E-5 8.22037 4079 343.15
356.94 1.000576 4.297616E-3 0.682767  3.314E-5 8.22119 4109 342.75
356.49 1.000576 4.159417E-3 0.682545  3.319E-5 8.22050 4139 342.40
356.03 1.000576 4.426385E-3 0.682811  3.315E-5 8.21962 4169 342.05
355.55 1.000576 4.210309E-3 0.683019  3.325E-5 8.21780 4198 341.65
355.14 1.000576 4.228771E-3 0.682903  3.317E-5 8.21782 4228 341.35
354.70 1.000576 4.188204E-3 0.683170  3.315E-5 8.21773 4258 341.00
354.26 1.000576 3.607680E-3 0.683151  3.321E-5 8.21606 4288 340.65
353.82 1.000576 4.178835E-3 0.683312  3.313E-5 8.21537 4318 340.25
353.39 1.000576 4.397526E-3 0.683287  3.317E-5 8.21501 4347 339.95
352.98 1.000576 3.977275E-3 0.683498  3.313E-5 8.21432 4377 339.60
352.55 1.000576 4.139995E-3 0.683723  3.312E-5 8.21447 4407 339.25
352.13 1.000576 4.507324E-3 0.683715  3.313E-5 8.21333 4437 338.90
351.71 1.000576 3.918491E-3 0.683704  3.304E-5 8.21293 4467 338.55
351.30 1.000576 4.187637E-3 0.683886  3.311E-5 8.21271 4496 338.20
350.90 1.000576 4.462732E-3 0.684105  3.322E-5 8.21103 4526 337.85
350.50 1.000576 4.037248E-3 0.684213  3.310E-5 8.21080 4556 337.55
350.10 1.000576 3.799476E-3 0.684064  3.317E-5 8.21129 4586 337.25
349.71 1.000576 4.036808E-3 0.684175  3.320E-5 8.20944 4616 336.90
349.33 1.000576 4.176727E-3 0.684426  3.327E-5 8.20994 4645 336.60
348.95 1.000576 4.255259E-3 0.684380  3.308E-5 8.20817 4675 336.30
348.57 1.000576 4.165780E-3 0.684508  3.312E-5 8.20852 4705 336.00
348.19 1.000576 4.118099E-3 0.684616  3.317E-5 8.20820 4735 335.65
347.81 1.000576 4.214033E-3 0.684487  3.311E-5 8.20727 4765 335.35
347.44 1.000576 4.242511E-3 0.684655  3.315E-5 8.20650 4794 335.00
347.07 1.000576 4.198939E-3 0.684670  3.309E-5 8.20644 4824 334.70
346.71 1.000576 4.001242E-3 0.684846  3.312E-5 8.20446 4854 334.40
346.35 1.000576 3.657697E-3 0.684982  3.305E-5 8.20570 4884 334.15
345.99 1.000576 4.179678E-3 0.685003  3.316E-5 8.20477 4914 333.85
345.63 1.000576 3.852168E-3 0.685083  3.316E-5 8.20479 4943 333.60
345.29 1.000576 3.775093E-3 0.685041  3.311E-5 8.20291 4973 333.30
344.93 1.000576 4.160483E-3 0.685186  3.310E-5 8.20383 5003 333.00
344.58 1.000576 3.680088E-3 0.685136  3.308E-5 8.20130 5033 332.70
344.24 1.000576 3.812075E-3 0.685361  3.304E-5 8.20203 5063 332.45
343.90 1.000576 4.185069E-3 0.685489  3.314E-5 8.20170 5092 332.20
343.57 1.000576 4.006753E-3 0.685421  3.309E-5 8.20240 5122 331.90
343.23 1.000576 4.041682E-3 0.685743  3.303E-5 8.20093 5152 331.60
342.90 1.000576 4.128311E-3 0.685601  3.310E-5 8.19992 5182 331.35
342.57 1.000576 4.089676E-3 0.685996  3.293E-5 8.20027 5212 331.10
342.22 1.000576 4.085100E-3 0.685843  3.308E-5 8.19902 5241 330.80
