Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 5 360 2.0 370 120 1.000  20 1.0E-1
21.11.2013, 09:33

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
349.91 1.000576 3.121995E-3 0.677546  3.378E-5 8.51235 26 360.00
349.92 1.000576 2.917223E-3 0.677511  3.379E-5 8.51051 56 360.20
349.93 1.000576 2.836691E-3 0.677746  3.378E-5 8.50875 86 360.55
349.93 1.000576 2.618337E-3 0.677472  3.381E-5 8.50529 116 361.15
349.95 1.000576 2.714647E-3 0.677368  3.384E-5 8.50294 146 361.85
349.97 1.000576 3.085012E-3 0.677447  3.374E-5 8.50260 176 362.75
350.00 1.000576 2.847505E-3 0.677506  3.371E-5 8.50040 206 363.65
350.02 1.000576 2.403922E-3 0.677793  3.383E-5 8.50010 236 364.65
350.08 1.000576 3.075006E-3 0.677261  3.378E-5 8.50015 266 365.55
350.12 1.000576 2.725268E-3 0.677395  3.380E-5 8.49786 296 366.55
350.22 1.000576 2.858231E-3 0.677439  3.383E-5 8.50009 325 367.55
350.32 1.000576 2.643561E-3 0.677474  3.388E-5 8.49908 355 368.35
350.46 1.000576 2.496493E-3 0.677394  3.394E-5 8.49713 385 369.00
350.60 1.000576 3.011285E-3 0.677404  3.375E-5 8.49513 415 369.35
350.75 1.000576 2.815250E-3 0.677459  3.389E-5 8.49471 445 369.70
350.92 1.000576 2.638114E-3 0.677438  3.392E-5 8.49475 475 369.95
351.08 1.000576 2.542931E-3 0.677207  3.394E-5 8.49484 505 370.15
351.25 1.000576 2.734082E-3 0.677377  3.375E-5 8.49589 535 370.25
351.43 1.000576 2.985053E-3 0.677163  3.372E-5 8.49444 565 370.35
351.60 1.000576 2.885336E-3 0.677138  3.380E-5 8.49550 595 370.40
351.78 1.000576 2.811445E-3 0.677296  3.383E-5 8.49466 624 370.45
