Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 12 550 2.0 290 90 6.000  60 3.0E-1
29.11.2013, 05:09

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
538.58 6.000960 2.176947E-2 0.610756  1.119E-4 8.04299 66 549.60
538.51 6.000960 2.176470E-2 0.610774  1.118E-4 8.04285 134 548.35
538.30 6.000960 2.174416E-2 0.610798  1.118E-4 8.04378 203 546.45
537.91 6.000960 2.175278E-2 0.610840  1.118E-4 8.04374 272 544.20
537.30 6.000960 2.180260E-2 0.610900  1.118E-4 8.04398 341 541.90
536.47 6.000960 2.182597E-2 0.611009  1.118E-4 8.04371 410 539.60
535.47 6.000960 2.187634E-2 0.611114  1.118E-4 8.04247 478 537.30
534.33 6.000960 2.193481E-2 0.611261  1.118E-4 8.04190 547 535.10
533.05 6.000960 2.200927E-2 0.611431  1.118E-4 8.04170 616 532.90
531.61 6.000960 2.210676E-2 0.611654  1.118E-4 8.04044 685 530.50
530.10 6.000960 2.221829E-2 0.611873  1.117E-4 8.03902 754 528.25
528.51 6.000960 2.233251E-2 0.612132  1.114E-4 8.03629 822 526.00
526.87 6.000960 2.248920E-2 0.612440  1.114E-4 8.03439 891 523.70
525.17 6.000960 2.266225E-2 0.612793  1.114E-4 8.03294 960 521.40
523.37 6.000960 2.284781E-2 0.613167  1.114E-4 8.03017 1029 519.20
521.49 6.000960 2.306197E-2 0.613586  1.113E-4 8.02792 1098 516.95
519.59 6.000960 2.327181E-2 0.614027  1.112E-4 8.02518 1166 514.65
517.65 6.000960 2.350405E-2 0.614489  1.111E-4 8.02129 1235 512.30
515.70 6.000960 2.374831E-2 0.614965  1.111E-4 8.01776 1304 509.85
513.64 6.000960 2.401474E-2 0.615488  1.110E-4 8.01368 1373 507.45
511.57 6.000960 2.432276E-2 0.616037  1.109E-4 8.01117 1442 505.00
509.46 6.000960 2.466000E-2 0.616642  1.108E-4 8.00680 1510 502.65
507.35 6.000960 2.502170E-2 0.617260  1.107E-4 8.00419 1579 500.30
505.23 6.000960 2.537791E-2 0.617846  1.105E-4 8.00006 1648 498.10
503.08 6.000960 2.576800E-2 0.618452  1.104E-4 7.99605 1717 495.80
500.95 6.000960 2.619454E-2 0.619097  1.103E-4 7.99295 1786 493.60
498.79 6.000960 2.663309E-2 0.619756  1.102E-4 7.98825 1854 491.35
496.72 6.000960 2.709550E-2 0.620409  1.100E-4 7.98455 1923 489.10
494.57 6.000960 2.754715E-2 0.621079  1.100E-4 7.98068 1992 486.75
492.44 6.000960 2.804854E-2 0.621791  1.098E-4 7.97707 2061 484.50
490.30 6.000960 2.858349E-2 0.622517  1.096E-4 7.97300 2130 482.15
488.16 6.000960 2.915734E-2 0.623298  1.095E-4 7.96902 2198 479.85
486.04 6.000960 2.978362E-2 0.624110  1.094E-4 7.96423 2267 477.50
483.91 6.000960 3.041590E-2 0.624923  1.093E-4 7.96017 2336 475.25
481.79 6.000960 3.108246E-2 0.625827  1.090E-4 7.95760 2405 473.00
479.65 6.000960 3.178710E-2 0.626806  1.088E-4 7.95409 2474 470.70
477.51 6.000960 3.247738E-2 0.627805  1.088E-4 7.94880 2542 468.40
475.40 6.000960 3.317761E-2 0.628871  1.087E-4 7.94495 2611 466.15
473.29 6.000960 3.383375E-2 0.629957  1.084E-4 7.94170 2680 463.90
471.14 6.000960 3.445968E-2 0.631070  1.082E-4 7.93778 2749 461.60
469.04 6.000960 3.506986E-2 0.632249  1.080E-4 7.93368 2817 459.30
466.97 6.000960 3.564639E-2 0.633525  1.077E-4 7.93000 2886 457.10
464.83 6.000960 3.615550E-2 0.634843  1.075E-4 7.92666 2955 454.80
462.73 6.000960 3.658420E-2 0.636233  1.073E-4 7.92282 3023 452.50
460.64 6.000960 3.693375E-2 0.637720  1.071E-4 7.91883 3092 450.15
458.59 6.000960 3.714846E-2 0.639275  1.068E-4 7.91511 3161 447.80
456.47 6.000960 3.717787E-2 0.640847  1.065E-4 7.91140 3230 445.45
454.39 6.000960 3.706753E-2 0.642497  1.063E-4 7.90812 3298 443.10
452.30 6.000960 3.676970E-2 0.644087  1.059E-4 7.90451 3367 440.80
450.22 6.000960 3.624627E-2 0.645673  1.057E-4 7.90108 3436 438.60
448.15 6.000960 3.556719E-2 0.647176  1.055E-4 7.89703 3504 436.35
