Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 1 298 2.0 550 60 1.000  60 3.0E-1
27.11.2013, 11:16

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
432.54 1.000576 1.493506E-2 0.666148  1.035E-4 8.10815 5224 472.10
435.17 1.000576 1.596653E-2 0.664441  1.038E-4 8.11022 5293 474.40
437.75 1.000576 1.678596E-2 0.662551  1.040E-4 8.11501 5363 476.70
440.32 1.000576 1.741817E-2 0.660844  1.043E-4 8.11569 5432 479.05
442.89 1.000576 1.800064E-2 0.659123  1.047E-4 8.11616 5502 481.45
445.49 1.000576 1.832471E-2 0.657322  1.049E-4 8.11822 5572 483.80
448.08 1.000576 1.865475E-2 0.655480  1.052E-4 8.11831 5641 486.10
450.68 1.000576 1.894642E-2 0.653475  1.055E-4 8.11986 5711 488.40
453.29 1.000576 1.909112E-2 0.651459  1.057E-4 8.12082 5780 490.80
455.89 1.000576 1.867363E-2 0.649436  1.062E-4 8.12452 5850 493.15
458.52 1.000576 1.828622E-2 0.647432  1.065E-4 8.12339 5920 495.50
461.14 1.000576 1.804760E-2 0.645462  1.067E-4 8.12361 5989 497.85
463.75 1.000576 1.737547E-2 0.643718  1.070E-4 8.12244 6059 500.20
466.37 1.000576 1.680983E-2 0.642134  1.072E-4 8.12315 6128 502.50
469.00 1.000576 1.606100E-2 0.640449  1.076E-4 8.12067 6198 504.80
471.60 1.000576 1.501240E-2 0.639041  1.080E-4 8.11786 6268 507.05
474.14 1.000576 1.439396E-2 0.637777  1.080E-4 8.11636 6337 509.30
476.66 1.000576 1.336727E-2 0.636402  1.082E-4 8.11654 6407 511.55
479.17 1.000576 1.261123E-2 0.635298  1.085E-4 8.11529 6476 513.85
481.67 1.000576 1.178910E-2 0.634347  1.085E-4 8.11674 6546 516.10
484.15 1.000576 1.104830E-2 0.633722  1.088E-4 8.10775 6616 518.45
486.60 1.000576 1.029403E-2 0.632800  1.089E-4 8.11142 6685 520.80
489.10 1.000576 9.736631E-3 0.632063  1.090E-4 8.10879 6755 523.15
491.61 1.000576 9.160349E-3 0.631480  1.091E-4 8.10994 6824 525.50
494.10 1.000576 8.847677E-3 0.630947  1.092E-4 8.10722 6894 527.85
496.62 1.000576 8.426620E-3 0.630406  1.093E-4 8.10673 6964 530.20
499.14 1.000576 7.806549E-3 0.629718  1.093E-4 8.10869 7033 532.55
501.66 1.000576 7.679302E-3 0.629230  1.096E-4 8.10732 7103 534.80
504.19 1.000576 7.199322E-3 0.628808  1.095E-4 8.10488 7172 537.15
506.76 1.000576 6.966211E-3 0.628226  1.096E-4 8.10290 7242 539.45
509.27 1.000576 6.880696E-3 0.627858  1.097E-4 8.10296 7312 541.80
511.82 1.000576 6.850944E-3 0.627300  1.099E-4 8.10646 7381 544.20
514.37 1.000576 6.529740E-3 0.626651  1.099E-4 8.10961 7451 546.50
516.89 1.000576 6.375445E-3 0.626392  1.100E-4 8.10800 7520 548.55
519.38 1.000576 6.229276E-3 0.625967  1.099E-4 8.10441 7590 549.70
521.73 1.000576 6.383290E-3 0.625531  1.101E-4 8.10238 7660 550.15
