Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 17 290 2.0 550 60 9.000  60 3.0E-1
29.11.2013, 22:13

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
312.82 9.002521 2.556300E-2 0.669915  1.013E-4 7.69670 66 309.05
312.61 9.002521 2.557847E-2 0.669955  1.012E-4 7.69595 134 309.00
312.41 9.002521 2.553199E-2 0.669970  1.012E-4 7.69603 203 309.45
312.26 9.002521 2.550471E-2 0.669980  1.012E-4 7.69558 271 311.05
312.10 9.002521 2.543019E-2 0.669970  1.012E-4 7.69498 340 313.60
312.11 9.002521 2.541171E-2 0.669982  1.013E-4 7.69454 409 316.45
312.09 9.002521 2.543249E-2 0.670015  1.012E-4 7.69437 477 319.40
312.20 9.002521 2.543586E-2 0.670021  1.012E-4 7.69547 546 322.35
312.47 9.002521 2.543102E-2 0.670022  1.012E-4 7.69506 614 325.25
312.74 9.002521 2.541433E-2 0.669990  1.012E-4 7.69484 683 328.00
313.14 9.002521 2.539454E-2 0.669938  1.013E-4 7.69503 752 330.65
313.60 9.002521 2.533576E-2 0.669834  1.012E-4 7.69470 820 333.20
314.17 9.002521 2.528254E-2 0.669711  1.013E-4 7.69534 889 335.60
314.75 9.002521 2.528214E-2 0.669622  1.013E-4 7.69541 957 338.05
315.43 9.002521 2.528225E-2 0.669503  1.013E-4 7.69550 1026 340.45
316.18 9.002521 2.528901E-2 0.669352  1.013E-4 7.69453 1095 342.75
316.98 9.002521 2.527670E-2 0.669186  1.014E-4 7.69570 1163 345.15
317.89 9.002521 2.522389E-2 0.668976  1.014E-4 7.69589 1232 347.50
318.78 9.002521 2.523911E-2 0.668792  1.014E-4 7.69572 1301 349.75
319.79 9.002521 2.522141E-2 0.668551  1.014E-4 7.69506 1369 352.05
320.83 9.002521 2.521931E-2 0.668318  1.015E-4 7.69579 1438 354.30
321.94 9.002521 2.525338E-2 0.668083  1.015E-4 7.69574 1506 356.55
323.09 9.002521 2.528749E-2 0.667856  1.015E-4 7.69566 1575 358.75
324.29 9.002521 2.524379E-2 0.667508  1.016E-4 7.69659 1644 360.95
325.56 9.002521 2.525653E-2 0.667225  1.017E-4 7.69574 1712 363.30
326.87 9.002521 2.524912E-2 0.666898  1.017E-4 7.69603 1781 365.50
328.22 9.002521 2.528181E-2 0.666583  1.017E-4 7.69706 1849 367.80
329.64 9.002521 2.529860E-2 0.666240  1.018E-4 7.69712 1918 370.10
331.09 9.002521 2.528374E-2 0.665880  1.019E-4 7.69662 1987 372.40
332.60 9.002521 2.527364E-2 0.665495  1.019E-4 7.69684 2055 374.70
334.15 9.002521 2.525302E-2 0.665107  1.020E-4 7.69742 2124 377.05
335.74 9.002521 2.525920E-2 0.664727  1.021E-4 7.69788 2193 379.35
337.38 9.002521 2.523105E-2 0.664331  1.021E-4 7.69749 2261 381.60
339.07 9.002521 2.520235E-2 0.663927  1.022E-4 7.69818 2330 383.90
340.80 9.002521 2.514412E-2 0.663513  1.022E-4 7.69864 2399 386.15
342.57 9.002521 2.513334E-2 0.663154  1.023E-4 7.69861 2467 388.50
344.37 9.002521 2.513438E-2 0.662801  1.024E-4 7.69948 2536 390.80
346.22 9.002521 2.512230E-2 0.662463  1.024E-4 7.69882 2605 393.10
348.11 9.002521 2.509053E-2 0.662071  1.025E-4 7.69963 2673 395.40
350.04 9.002521 2.510648E-2 0.661705  1.025E-4 7.70047 2742 397.70
352.01 9.002521 2.508738E-2 0.661345  1.026E-4 7.70102 2811 400.00
354.02 9.002521 2.509553E-2 0.660992  1.027E-4 7.70150 2879 402.30
356.07 9.002521 2.511518E-2 0.660647  1.028E-4 7.70211 2948 404.50
358.15 9.002521 2.510521E-2 0.660268  1.028E-4 7.70260 3017 406.80
360.27 9.002521 2.515155E-2 0.659938  1.028E-4 7.70425 3085 409.10
362.40 9.002521 2.513796E-2 0.659538  1.029E-4 7.70486 3154 411.40
364.57 9.002521 2.509978E-2 0.659089  1.029E-4 7.70597 3223 413.65
366.78 9.002521 2.509985E-2 0.658674  1.030E-4 7.70755 3292 415.90
369.02 9.002521 2.508603E-2 0.658235  1.031E-4 7.70957 3360 418.20
371.27 9.002521 2.504381E-2 0.657776  1.032E-4 7.71172 3429 420.50
