Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 8 550 2.0 290 90 4.000  60 3.0E-1
28.11.2013, 15:46

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
538.56 4.000000 1.529921E-2 0.617924  1.106E-4 8.05674 65 549.55
538.45 4.000000 1.522614E-2 0.617935  1.106E-4 8.05709 134 548.25
538.27 4.000000 1.521088E-2 0.617949  1.105E-4 8.05712 203 546.35
537.86 4.000000 1.517802E-2 0.617999  1.105E-4 8.05681 272 544.15
537.26 4.000000 1.517279E-2 0.618070  1.105E-4 8.05590 340 541.85
536.47 4.000000 1.516146E-2 0.618146  1.105E-4 8.05622 409 539.60
535.52 4.000000 1.517926E-2 0.618257  1.105E-4 8.05514 478 537.30
534.39 4.000000 1.520533E-2 0.618410  1.105E-4 8.05409 546 535.10
533.12 4.000000 1.523820E-2 0.618570  1.105E-4 8.05176 615 532.80
531.74 4.000000 1.527219E-2 0.618756  1.104E-4 8.05191 684 530.55
530.26 4.000000 1.535387E-2 0.618982  1.104E-4 8.04954 752 528.25
528.68 4.000000 1.545161E-2 0.619232  1.103E-4 8.04769 821 525.95
527.04 4.000000 1.556417E-2 0.619505  1.102E-4 8.04564 890 523.65
525.32 4.000000 1.569562E-2 0.619815  1.101E-4 8.04288 959 521.40
523.56 4.000000 1.582595E-2 0.620216  1.100E-4 8.04110 1027 519.05
521.77 4.000000 1.598588E-2 0.620621  1.101E-4 8.03822 1096 516.90
519.93 4.000000 1.614614E-2 0.621067  1.100E-4 8.03602 1165 514.70
518.05 4.000000 1.634610E-2 0.621554  1.099E-4 8.03222 1233 512.35
516.08 4.000000 1.651259E-2 0.622031  1.098E-4 8.02896 1302 509.95
514.08 4.000000 1.669753E-2 0.622554  1.097E-4 8.02552 1371 507.55
512.03 4.000000 1.688157E-2 0.623066  1.096E-4 8.02176 1439 505.10
509.93 4.000000 1.710211E-2 0.623605  1.095E-4 8.01859 1508 502.75
507.80 4.000000 1.736646E-2 0.624174  1.094E-4 8.01465 1577 500.40
505.68 4.000000 1.763418E-2 0.624750  1.093E-4 8.01152 1646 498.15
503.52 4.000000 1.789988E-2 0.625337  1.092E-4 8.00743 1714 495.90
501.38 4.000000 1.818807E-2 0.625929  1.091E-4 8.00349 1783 493.65
499.26 4.000000 1.848859E-2 0.626537  1.090E-4 7.99969 1852 491.40
497.12 4.000000 1.882421E-2 0.627140  1.089E-4 7.99594 1920 489.15
494.96 4.000000 1.919625E-2 0.627767  1.088E-4 7.99236 1989 486.85
492.86 4.000000 1.956380E-2 0.628384  1.087E-4 7.98889 2058 484.55
490.72 4.000000 1.997115E-2 0.628996  1.085E-4 7.98483 2126 482.25
488.65 4.000000 2.043954E-2 0.629636  1.085E-4 7.98059 2195 479.95
486.55 4.000000 2.091622E-2 0.630301  1.084E-4 7.97624 2264 477.60
484.43 4.000000 2.143051E-2 0.631008  1.083E-4 7.97212 2333 475.30
482.32 4.000000 2.196141E-2 0.631726  1.081E-4 7.96776 2401 473.00
480.22 4.000000 2.248220E-2 0.632487  1.080E-4 7.96477 2470 470.70
478.13 4.000000 2.308056E-2 0.633257  1.078E-4 7.96090 2539 468.45
476.06 4.000000 2.369002E-2 0.634040  1.077E-4 7.95688 2607 466.15
473.98 4.000000 2.435113E-2 0.634877  1.075E-4 7.95356 2676 463.90
471.89 4.000000 2.502786E-2 0.635749  1.074E-4 7.94989 2745 461.60
469.88 4.000000 2.572044E-2 0.636627  1.073E-4 7.94600 2813 459.45
467.84 4.000000 2.642835E-2 0.637530  1.071E-4 7.94284 2882 457.25
465.75 4.000000 2.713468E-2 0.638478  1.070E-4 7.93827 2951 455.00
463.75 4.000000 2.785103E-2 0.639523  1.068E-4 7.93454 3019 452.70
461.70 4.000000 2.854753E-2 0.640677  1.066E-4 7.93107 3088 450.35
459.62 4.000000 2.919909E-2 0.641893  1.064E-4 7.92730 3156 448.00
457.57 4.000000 2.982696E-2 0.643267  1.061E-4 7.92417 3225 445.65
455.48 4.000000 3.029158E-2 0.644672  1.060E-4 7.92044 3294 443.35
453.38 4.000000 3.064903E-2 0.646179  1.056E-4 7.91743 3362 441.10
451.28 4.000000 3.082676E-2 0.647677  1.054E-4 7.91286 3431 438.80
449.20 4.000000 3.089812E-2 0.649284  1.052E-4 7.90993 3499 436.50
447.11 4.000000 3.085220E-2 0.651038  1.049E-4 7.90674 3568 434.20
445.04 4.000000 3.058128E-2 0.652841  1.047E-4 7.90384 3637 432.00
442.98 4.000000 3.012884E-2 0.654511  1.044E-4 7.90065 3705 429.60
440.94 4.000000 2.940115E-2 0.656023  1.041E-4 7.89646 3774 427.30
438.92 4.000000 2.856361E-2 0.657493  1.039E-4 7.89266 3842 425.00
436.91 4.000000 2.762762E-2 0.658896  1.037E-4 7.88966 3911 422.75
434.91 4.000000 2.659064E-2 0.660199  1.034E-4 7.88599 3980 420.50
432.94 4.000000 2.552899E-2 0.661376  1.033E-4 7.88252 4048 418.30
430.98 4.000000 2.444078E-2 0.662418  1.031E-4 7.87920 4117 415.95
429.02 4.000000 2.340645E-2 0.663401  1.030E-4 7.87651 4185 413.60
427.04 4.000000 2.238560E-2 0.664211  1.028E-4 7.87295 4254 411.30
425.06 4.000000 2.134759E-2 0.664972  1.027E-4 7.86960 4323 409.10
423.14 4.000000 2.041040E-2 0.665652  1.026E-4 7.86634 4391 406.95
421.20 4.000000 1.953369E-2 0.666252  1.025E-4 7.86261 4460 404.75
419.23 4.000000 1.870659E-2 0.666815  1.024E-4 7.85974 4528 402.50
417.32 4.000000 1.801185E-2 0.667405  1.024E-4 7.85689 4597 400.20
415.38 4.000000 1.736372E-2 0.667938  1.023E-4 7.85406 4666 397.90
413.48 4.000000 1.680672E-2 0.668419  1.022E-4 7.85115 4734 395.65
411.55 4.000000 1.624341E-2 0.668837  1.022E-4 7.84844 4803 393.45
409.63 4.000000 1.574985E-2 0.669279  1.020E-4 7.84476 4871 391.15
407.71 4.000000 1.533610E-2 0.669709  1.020E-4 7.84228 4940 388.90
405.80 4.000000 1.493564E-2 0.670096  1.019E-4 7.83849 5009 386.60
403.89 4.000000 1.460285E-2 0.670495  1.019E-4 7.83702 5077 384.40
401.99 4.000000 1.430785E-2 0.670897  1.018E-4 7.83425 5146 382.30
400.10 4.000000 1.402327E-2 0.671265  1.018E-4 7.83162 5214 380.30
398.24 4.000000 1.378008E-2 0.671640  1.017E-4 7.82849 5283 378.35
396.36 4.000000 1.355714E-2 0.671998  1.016E-4 7.82483 5352 376.40
394.57 4.000000 1.335520E-2 0.672377  1.017E-4 7.82256 5420 374.60
392.71 4.000000 1.319060E-2 0.672721  1.016E-4 7.81916 5489 372.90
390.97 4.000000 1.298974E-2 0.673051  1.015E-4 7.81676 5557 371.30
389.22 4.000000 1.286463E-2 0.673413  1.015E-4 7.81293 5626 369.70
387.51 4.000000 1.279053E-2 0.673742  1.014E-4 7.81007 5695 368.25
385.83 4.000000 1.269242E-2 0.674076  1.013E-4 7.80861 5763 366.80
384.20 4.000000 1.264303E-2 0.674458  1.013E-4 7.80536 5832 365.50
382.56 4.000000 1.257762E-2 0.674830  1.013E-4 7.80359 5900 364.15
380.96 4.000000 1.249870E-2 0.675190  1.012E-4 7.80001 5969 362.85
379.42 4.000000 1.243440E-2 0.675545  1.012E-4 7.79741 6038 361.60
377.92 4.000000 1.233979E-2 0.675903  1.011E-4 7.79527 6106 360.35
376.43 4.000000 1.229592E-2 0.676190  1.011E-4 7.79298 6175 359.00
374.99 4.000000 1.224011E-2 0.676465  1.010E-4 7.79111 6243 357.75
373.59 4.000000 1.220877E-2 0.676780  1.009E-4 7.78886 6312 356.55
372.21 4.000000 1.218051E-2 0.677049  1.009E-4 7.78647 6381 355.30
370.87 4.000000 1.215172E-2 0.677305  1.009E-4 7.78469 6449 354.20
369.55 4.000000 1.212820E-2 0.677559  1.008E-4 7.78268 6518 353.15
368.26 4.000000 1.212709E-2 0.677807  1.008E-4 7.78038 6586 352.05
367.00 4.000000 1.212900E-2 0.678087  1.008E-4 7.77847 6655 351.05
365.77 4.000000 1.212703E-2 0.678371  1.008E-4 7.77640 6724 350.00
364.56 4.000000 1.211046E-2 0.678636  1.007E-4 7.77484 6792 349.05
363.39 4.000000 1.214976E-2 0.678933  1.006E-4 7.77216 6861 348.10
362.24 4.000000 1.211487E-2 0.679166  1.007E-4 7.77098 6929 347.20
361.12 4.000000 1.210559E-2 0.679398  1.005E-4 7.76950 6998 346.30
360.02 4.000000 1.209906E-2 0.679653  1.006E-4 7.76620 7067 345.40
358.88 4.000000 1.212103E-2 0.679887  1.005E-4 7.76556 7135 344.50
357.81 4.000000 1.210741E-2 0.680120  1.005E-4 7.76405 7204 343.75
356.78 4.000000 1.211100E-2 0.680337  1.005E-4 7.76233 7272 342.95
355.77 4.000000 1.209973E-2 0.680557  1.005E-4 7.76019 7341 342.15
354.78 4.000000 1.211047E-2 0.680770  1.005E-4 7.75740 7410 341.25
353.80 4.000000 1.213159E-2 0.680996  1.005E-4 7.75705 7478 340.45
352.85 4.000000 1.214351E-2 0.681212  1.004E-4 7.75653 7547 339.70
351.91 4.000000 1.214215E-2 0.681405  1.003E-4 7.75464 7615 338.95
350.99 4.000000 1.217597E-2 0.681611  1.002E-4 7.75358 7684 338.20
350.10 4.000000 1.216128E-2 0.681824  1.002E-4 7.75214 7753 337.50
349.21 4.000000 1.216162E-2 0.682028  1.003E-4 7.74982 7821 336.80
348.35 4.000000 1.218624E-2 0.682227  1.002E-4 7.74917 7890 336.10
347.52 4.000000 1.217858E-2 0.682416  1.002E-4 7.74779 7958 335.45
346.69 4.000000 1.218597E-2 0.682576  1.001E-4 7.74596 8027 334.80
345.88 4.000000 1.218227E-2 0.682761  1.002E-4 7.74464 8096 334.15
345.09 4.000000 1.220512E-2 0.682918  1.001E-4 7.74326 8164 333.55
344.31 4.000000 1.218522E-2 0.683078  1.001E-4 7.74222 8233 332.90
343.54 4.000000 1.219211E-2 0.683233  1.001E-4 7.74108 8301 332.30
342.79 4.000000 1.221075E-2 0.683403  1.000E-4 7.73960 8370 331.70
342.06 4.000000 1.225106E-2 0.683561  1.001E-4 7.73860 8439 331.05
341.33 4.000000 1.225757E-2 0.683698  1.001E-4 7.73817 8507 330.55
340.62 4.000000 1.226177E-2 0.683834  9.997E-5 7.73599 8576 329.95
339.93 4.000000 1.228266E-2 0.684008  9.999E-5 7.73550 8644 329.45
339.24 4.000000 1.228480E-2 0.684145  9.991E-5 7.73477 8713 328.90
338.57 4.000000 1.230405E-2 0.684320  9.998E-5 7.73422 8782 328.40
337.91 4.000000 1.229786E-2 0.684459  9.986E-5 7.73282 8850 327.90
337.27 4.000000 1.232466E-2 0.684584  9.987E-5 7.73125 8919 327.35
336.64 4.000000 1.233520E-2 0.684713  1.000E-4 7.73088 8987 326.90
336.03 4.000000 1.233990E-2 0.684868  9.983E-5 7.72913 9056 326.40
335.41 4.000000 1.234419E-2 0.685025  9.984E-5 7.72892 9125 326.00
334.81 4.000000 1.234524E-2 0.685153  9.999E-5 7.72913 9193 325.50
334.23 4.000000 1.236086E-2 0.685276  9.982E-5 7.72737 9262 325.10
333.66 4.000000 1.236035E-2 0.685417  9.976E-5 7.72634 9330 324.65
333.10 4.000000 1.236194E-2 0.685538  9.982E-5 7.72695 9399 324.20
332.54 4.000000 1.236505E-2 0.685672  9.976E-5 7.72476 9468 323.70
331.99 4.000000 1.237675E-2 0.685800  9.978E-5 7.72433 9536 323.30
331.46 4.000000 1.237157E-2 0.685911  9.967E-5 7.72290 9605 322.90
330.93 4.000000 1.238105E-2 0.686049  9.975E-5 7.72276 9673 322.50
330.41 4.000000 1.237281E-2 0.686144  9.966E-5 7.72181 9742 322.05
329.88 4.000000 1.237021E-2 0.686245  9.968E-5 7.72106 9811 321.70
329.41 4.000000 1.238230E-2 0.686349  9.974E-5 7.72066 9879 321.30
328.93 4.000000 1.238233E-2 0.686438  9.964E-5 7.72040 9948 320.95
328.44 4.000000 1.237617E-2 0.686539  9.970E-5 7.71971 10016 320.60
327.95 4.000000 1.236842E-2 0.686642  9.962E-5 7.71764 10085 320.20
327.49 4.000000 1.236214E-2 0.686734  9.960E-5 7.71806 10154 319.90
327.02 4.000000 1.238310E-2 0.686824  9.972E-5 7.71772 10222 319.55
326.58 4.000000 1.236151E-2 0.686915  9.962E-5 7.71749 10291 319.25
326.14 4.000000 1.238191E-2 0.686985  9.961E-5 7.71637 10359 318.90
325.71 4.000000 1.238126E-2 0.687093  9.952E-5 7.71628 10428 318.55
325.28 4.000000 1.236014E-2 0.687170  9.949E-5 7.71534 10497 318.25
324.87 4.000000 1.237675E-2 0.687265  9.948E-5 7.71528 10565 318.00
324.43 4.000000 1.235565E-2 0.687347  9.969E-5 7.71572 10634 317.65
324.00 4.000000 1.237694E-2 0.687423  9.950E-5 7.71285 10702 317.35
323.66 4.000000 1.234348E-2 0.687508  9.944E-5 7.71346 10771 317.05
323.23 4.000000 1.235205E-2 0.687591  9.954E-5 7.71243 10840 316.75
322.88 4.000000 1.234213E-2 0.687657  9.963E-5 7.71239 10908 316.50
322.47 4.000000 1.233477E-2 0.687742  9.951E-5 7.71202 10977 316.20
322.07 4.000000 1.232187E-2 0.687815  9.960E-5 7.71180 11045 315.95
321.71 4.000000 1.232043E-2 0.687887  9.954E-5 7.71098 11114 315.65
321.35 4.000000 1.231738E-2 0.687950  9.938E-5 7.70925 11183 315.40
320.99 4.000000 1.232053E-2 0.688017  9.930E-5 7.70954 11251 315.10
320.65 4.000000 1.230808E-2 0.688081  9.953E-5 7.70939 11320 314.85
320.32 4.000000 1.229577E-2 0.688140  9.947E-5 7.70813 11388 314.60
319.98 4.000000 1.229205E-2 0.688202  9.942E-5 7.70787 11457 314.30
319.67 4.000000 1.227367E-2 0.688261  9.946E-5 7.70781 11526 314.10
319.37 4.000000 1.225917E-2 0.688330  9.949E-5 7.70772 11594 313.80
318.98 4.000000 1.226185E-2 0.688379  9.944E-5 7.70666 11663 313.60
318.67 4.000000 1.224940E-2 0.688425  9.949E-5 7.70680 11731 313.35
318.37 4.000000 1.224743E-2 0.688487  9.942E-5 7.70562 11800 313.10
318.07 4.000000 1.223086E-2 0.688522  9.948E-5 7.70605 11869 312.90
317.77 4.000000 1.221864E-2 0.688573  9.938E-5 7.70506 11937 312.70
317.48 4.000000 1.222064E-2 0.688618  9.939E-5 7.70476 12006 312.45
317.20 4.000000 1.221088E-2 0.688658  9.936E-5 7.70434 12074 312.20
316.94 4.000000 1.219772E-2 0.688719  9.941E-5 7.70424 12143 312.00
316.64 4.000000 1.219696E-2 0.688762  9.946E-5 7.70393 12212 311.85
316.40 4.000000 1.217757E-2 0.688807  9.941E-5 7.70361 12280 311.60
316.08 4.000000 1.218265E-2 0.688847  9.932E-5 7.70286 12349 311.40
315.84 4.000000 1.215781E-2 0.688899  9.940E-5 7.70281 12417 311.20
315.57 4.000000 1.215904E-2 0.688918  9.941E-5 7.70200 12486 311.00
315.31 4.000000 1.214728E-2 0.688955  9.938E-5 7.70167 12554 310.85
315.05 4.000000 1.212730E-2 0.688994  9.944E-5 7.70129 12623 310.65
314.80 4.000000 1.214516E-2 0.689042  9.936E-5 7.70108 12691 310.45
