Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 6 550 2.0 290 90 3.000  60 3.0E-1
28.11.2013, 03:12

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
538.03 3.000120 1.217224E-2 0.618598  1.108E-4 8.05291 66 549.65
537.98 3.000120 1.218758E-2 0.618611  1.108E-4 8.05375 135 548.40
537.80 3.000120 1.220116E-2 0.618647  1.108E-4 8.05449 204 546.45
537.45 3.000120 1.215859E-2 0.618680  1.109E-4 8.05474 273 544.30
536.89 3.000120 1.224269E-2 0.618744  1.108E-4 8.05534 342 541.90
536.13 3.000120 1.228509E-2 0.618852  1.108E-4 8.05440 411 539.55
535.19 3.000120 1.221756E-2 0.618992  1.107E-4 8.05349 480 537.30
534.10 3.000120 1.229748E-2 0.619115  1.108E-4 8.05322 549 535.05
532.85 3.000120 1.237141E-2 0.619313  1.107E-4 8.05221 618 532.75
531.48 3.000120 1.239122E-2 0.619525  1.106E-4 8.05070 687 530.45
530.00 3.000120 1.242543E-2 0.619782  1.106E-4 8.04965 756 528.15
528.45 3.000120 1.249329E-2 0.620065  1.105E-4 8.04779 825 525.80
526.81 3.000120 1.256972E-2 0.620333  1.105E-4 8.04700 894 523.50
525.11 3.000120 1.263311E-2 0.620694  1.104E-4 8.04473 963 521.20
523.35 3.000120 1.274922E-2 0.621106  1.103E-4 8.04280 1032 518.90
521.54 3.000120 1.292620E-2 0.621536  1.104E-4 8.04091 1101 516.75
519.69 3.000120 1.303971E-2 0.621990  1.102E-4 8.03891 1170 514.50
517.81 3.000120 1.320868E-2 0.622469  1.102E-4 8.03608 1239 512.15
515.85 3.000120 1.329335E-2 0.622908  1.100E-4 8.03321 1308 509.70
513.84 3.000120 1.339215E-2 0.623444  1.100E-4 8.02939 1377 507.30
511.78 3.000120 1.358392E-2 0.623926  1.098E-4 8.02618 1446 504.90
509.68 3.000120 1.374557E-2 0.624510  1.098E-4 8.02354 1515 502.45
507.55 3.000120 1.392475E-2 0.625082  1.097E-4 8.02005 1584 500.20
505.38 3.000120 1.411781E-2 0.625684  1.096E-4 8.01701 1653 497.90
503.22 3.000120 1.433828E-2 0.626335  1.094E-4 8.01385 1722 495.60
501.08 3.000120 1.455939E-2 0.626921  1.094E-4 8.00985 1791 493.40
498.94 3.000120 1.482147E-2 0.627537  1.092E-4 8.00626 1860 491.15
496.78 3.000120 1.500255E-2 0.628124  1.092E-4 8.00215 1929 488.90
494.64 3.000120 1.526124E-2 0.628698  1.089E-4 7.99891 1998 486.60
492.50 3.000120 1.558440E-2 0.629307  1.089E-4 7.99492 2067 484.30
490.34 3.000120 1.589202E-2 0.629928  1.088E-4 7.99126 2136 481.90
488.20 3.000120 1.626069E-2 0.630564  1.087E-4 7.98842 2205 479.55
486.05 3.000120 1.665032E-2 0.631213  1.085E-4 7.98402 2274 477.25
483.88 3.000120 1.704976E-2 0.631859  1.085E-4 7.97901 2343 475.00
481.75 3.000120 1.749314E-2 0.632500  1.084E-4 7.97523 2412 472.70
479.61 3.000120 1.789065E-2 0.633183  1.082E-4 7.97246 2481 470.40
477.47 3.000120 1.841420E-2 0.633869  1.081E-4 7.96791 2550 468.10
475.30 3.000120 1.900706E-2 0.634583  1.082E-4 7.96300 2619 465.80
473.14 3.000120 1.962015E-2 0.635330  1.077E-4 7.96120 2688 463.50
471.02 3.000120 2.021709E-2 0.635986  1.077E-4 7.95727 2757 461.20
468.93 3.000120 2.086705E-2 0.636712  1.076E-4 7.95173 2826 459.00
466.83 3.000120 2.164216E-2 0.637503  1.075E-4 7.94862 2895 456.75
464.75 3.000120 2.237984E-2 0.638322  1.073E-4 7.94573 2964 454.50
462.66 3.000120 2.312760E-2 0.639201  1.072E-4 7.94043 3033 452.15
