Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 13 290 2.0 550 60 7.000  60 3.0E-1
29.11.2013, 08:50

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
312.57 7.000840 2.067988E-2 0.679848  1.003E-4 7.69800 66 308.85
312.40 7.000840 2.066035E-2 0.679866  1.003E-4 7.69770 134 308.80
312.16 7.000840 2.062193E-2 0.679886  1.004E-4 7.69767 203 309.35
312.02 7.000840 2.059988E-2 0.679914  1.003E-4 7.69724 271 310.95
311.90 7.000840 2.058133E-2 0.679921  1.005E-4 7.69632 340 313.40
311.84 7.000840 2.055735E-2 0.679941  1.004E-4 7.69702 409 316.20
311.87 7.000840 2.055564E-2 0.679962  1.003E-4 7.69752 477 319.15
311.99 7.000840 2.053737E-2 0.679952  1.003E-4 7.69729 546 322.10
312.23 7.000840 2.050992E-2 0.679946  1.004E-4 7.69635 615 325.05
312.54 7.000840 2.048967E-2 0.679905  1.004E-4 7.69749 683 327.80
312.96 7.000840 2.045697E-2 0.679837  1.004E-4 7.69652 752 330.45
313.47 7.000840 2.042409E-2 0.679771  1.004E-4 7.69635 821 333.00
314.01 7.000840 2.040997E-2 0.679679  1.004E-4 7.69777 889 335.45
314.67 7.000840 2.038695E-2 0.679587  1.004E-4 7.69695 958 337.90
315.44 7.000840 2.039183E-2 0.679462  1.004E-4 7.69655 1027 340.25
316.28 7.000840 2.041015E-2 0.679305  1.004E-4 7.69646 1095 342.60
317.13 7.000840 2.041116E-2 0.679181  1.004E-4 7.69652 1164 344.95
318.05 7.000840 2.040205E-2 0.678986  1.004E-4 7.69692 1232 347.30
319.04 7.000840 2.040268E-2 0.678764  1.005E-4 7.69577 1301 349.60
320.08 7.000840 2.039394E-2 0.678532  1.005E-4 7.69704 1370 351.90
321.19 7.000840 2.040398E-2 0.678334  1.006E-4 7.69621 1438 354.20
322.34 7.000840 2.041515E-2 0.678114  1.007E-4 7.69639 1507 356.40
323.54 7.000840 2.039710E-2 0.677829  1.007E-4 7.69627 1576 358.65
324.80 7.000840 2.042602E-2 0.677526  1.007E-4 7.69611 1644 360.85
326.07 7.000840 2.041061E-2 0.677200  1.008E-4 7.69611 1713 363.10
327.40 7.000840 2.038903E-2 0.676866  1.007E-4 7.69607 1782 365.35
328.77 7.000840 2.041114E-2 0.676515  1.010E-4 7.69723 1850 367.60
330.19 7.000840 2.041075E-2 0.676188  1.009E-4 7.69691 1919 369.90
331.62 7.000840 2.039876E-2 0.675844  1.010E-4 7.69689 1987 372.25
333.15 7.000840 2.041132E-2 0.675493  1.011E-4 7.69818 2056 374.55
334.69 7.000840 2.040319E-2 0.675118  1.010E-4 7.69691 2125 376.85
336.27 7.000840 2.038927E-2 0.674727  1.012E-4 7.69842 2193 379.10
337.88 7.000840 2.039987E-2 0.674355  1.011E-4 7.69667 2262 381.40
339.55 7.000840 2.038412E-2 0.673996  1.013E-4 7.69780 2331 383.70
341.26 7.000840 2.034263E-2 0.673619  1.013E-4 7.69759 2399 386.00
343.01 7.000840 2.032319E-2 0.673267  1.014E-4 7.69780 2468 388.30
344.78 7.000840 2.030819E-2 0.672908  1.015E-4 7.69870 2537 390.55
346.58 7.000840 2.028853E-2 0.672573  1.015E-4 7.69796 2605 392.90
348.47 7.000840 2.028154E-2 0.672239  1.017E-4 7.69916 2674 395.20
350.39 7.000840 2.028959E-2 0.671903  1.017E-4 7.69961 2743 397.50
352.35 7.000840 2.027313E-2 0.671581  1.016E-4 7.69935 2811 399.75
354.36 7.000840 2.027692E-2 0.671246  1.017E-4 7.69952 2880 402.05
356.41 7.000840 2.027203E-2 0.670885  1.017E-4 7.70017 2949 404.40
358.49 7.000840 2.025715E-2 0.670513  1.018E-4 7.70175 3017 406.60
360.60 7.000840 2.025648E-2 0.670151  1.018E-4 7.70175 3086 408.90
362.74 7.000840 2.026324E-2 0.669771  1.019E-4 7.70415 3155 411.20
364.93 7.000840 2.025571E-2 0.669380  1.020E-4 7.70457 3223 413.50
367.13 7.000840 2.026521E-2 0.668983  1.020E-4 7.70527 3292 415.70
369.36 7.000840 2.029210E-2 0.668578  1.021E-4 7.70719 3361 418.00
371.63 7.000840 2.027985E-2 0.668165  1.021E-4 7.70847 3429 420.25
373.91 7.000840 2.026020E-2 0.667775  1.022E-4 7.71019 3498 422.65
376.22 7.000840 2.026061E-2 0.667424  1.023E-4 7.71198 3567 425.00
378.56 7.000840 2.027125E-2 0.667082  1.024E-4 7.71395 3635 427.30
380.93 7.000840 2.032477E-2 0.666726  1.024E-4 7.71579 3704 429.65
383.33 7.000840 2.035830E-2 0.666356  1.025E-4 7.71755 3773 432.00
385.73 7.000840 2.041691E-2 0.665943  1.025E-4 7.72043 3842 434.30
388.14 7.000840 2.048466E-2 0.665526  1.026E-4 7.72245 3910 436.55
390.57 7.000840 2.050261E-2 0.665073  1.026E-4 7.72522 3979 438.85
393.03 7.000840 2.056227E-2 0.664615  1.027E-4 7.72828 4048 441.15
395.50 7.000840 2.062611E-2 0.664170  1.027E-4 7.73075 4116 443.40
398.03 7.000840 2.067458E-2 0.663677  1.028E-4 7.73412 4185 445.55
400.52 7.000840 2.070882E-2 0.663238  1.029E-4 7.73755 4254 447.65
403.13 7.000840 2.083666E-2 0.662823  1.030E-4 7.74063 4322 449.90
405.70 7.000840 2.098794E-2 0.662365  1.031E-4 7.74440 4391 452.20
408.24 7.000840 2.110462E-2 0.661864  1.032E-4 7.74823 4460 454.50
410.87 7.000840 2.128288E-2 0.661375  1.032E-4 7.75162 4529 456.70
413.49 7.000840 2.146320E-2 0.660854  1.033E-4 7.75533 4597 458.95
