426.82 1.000576 0.02267904 70.7753399321779 166.663189166172
438.93 2.0 0.02528382 72.9771066498041 171.84795356732
443.94 3.00012 0.0277453 73.0296916607399 171.97178180514
449.2 4.0 0.03089812 73.0559571596473 172.03363232846
454.64 5.0 0.03421529 72.9855134457792 171.867750058997
456.47 6.00096 0.03717787 72.9921535646095 171.88338634392
458.8 7.00084 0.04143872 73.013512735463 171.933683347591
461.19 8.0 0.04466855 72.9935656986819 171.88671166554
462.79 9.002521 0.04793867 73.1624520495718 172.284408629947
464.58 10.0 0.05107915 48.98058176952 115.340455768143
Press Enter to continue
