Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 14 550 2.0 290 90 7.000  60 3.0E-1
29.11.2013, 11:51

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
401.06 7.000840 2.321484E-2 0.663089  1.028E-4 7.82426 5153 382.15
399.19 7.000840 2.299825E-2 0.663436  1.027E-4 7.82192 5222 380.10
397.34 7.000840 2.283436E-2 0.663693  1.026E-4 7.81913 5290 378.15
395.50 7.000840 2.265478E-2 0.663941  1.026E-4 7.81630 5359 376.30
393.70 7.000840 2.247062E-2 0.664200  1.026E-4 7.81400 5428 374.45
391.92 7.000840 2.237892E-2 0.664577  1.025E-4 7.81205 5496 372.75
390.17 7.000840 2.218305E-2 0.664848  1.024E-4 7.80962 5565 371.05
388.45 7.000840 2.204455E-2 0.665136  1.024E-4 7.80682 5634 369.40
386.77 7.000840 2.198826E-2 0.665537  1.024E-4 7.80367 5703 367.90
385.11 7.000840 2.187873E-2 0.665827  1.023E-4 7.80110 5771 366.40
383.48 7.000840 2.185630E-2 0.666272  1.021E-4 7.79863 5840 364.95
381.88 7.000840 2.182973E-2 0.666541  1.022E-4 7.79709 5909 363.60
380.32 7.000840 2.177939E-2 0.666914  1.021E-4 7.79466 5977 362.35
378.79 7.000840 2.169156E-2 0.667242  1.020E-4 7.79214 6046 361.05
377.29 7.000840 2.160489E-2 0.667592  1.019E-4 7.78881 6115 359.80
375.82 7.000840 2.156101E-2 0.667881  1.020E-4 7.78644 6183 358.60
374.38 7.000840 2.150897E-2 0.668145  1.019E-4 7.78470 6252 357.45
372.98 7.000840 2.143582E-2 0.668258  1.019E-4 7.78347 6321 356.30
371.62 7.000840 2.138830E-2 0.668452  1.019E-4 7.78210 6390 355.20
370.29 7.000840 2.133447E-2 0.668625  1.019E-4 7.77919 6458 354.10
368.97 7.000840 2.130078E-2 0.668832  1.018E-4 7.77808 6527 353.00
367.70 7.000840 2.130219E-2 0.669104  1.017E-4 7.77615 6596 352.00
366.45 7.000840 2.126903E-2 0.669334  1.018E-4 7.77420 6664 350.95
365.22 7.000840 2.122487E-2 0.669566  1.017E-4 7.77219 6733 349.90
364.02 7.000840 2.117694E-2 0.669811  1.016E-4 7.76998 6802 348.90
362.84 7.000840 2.114823E-2 0.669997  1.016E-4 7.76869 6870 347.90
361.72 7.000840 2.110115E-2 0.670188  1.016E-4 7.76779 6939 347.00
360.60 7.000840 2.107792E-2 0.670404  1.015E-4 7.76579 7008 346.10
359.50 7.000840 2.105383E-2 0.670623  1.015E-4 7.76405 7077 345.15
358.43 7.000840 2.104347E-2 0.670838  1.015E-4 7.76258 7145 344.30
357.38 7.000840 2.100670E-2 0.671035  1.014E-4 7.76072 7214 343.45
356.35 7.000840 2.098412E-2 0.671221  1.014E-4 7.75862 7283 342.70
355.34 7.000840 2.096062E-2 0.671389  1.015E-4 7.75722 7351 341.95
354.35 7.000840 2.094253E-2 0.671586  1.014E-4 7.75639 7420 341.15
353.40 7.000840 2.092402E-2 0.671787  1.013E-4 7.75401 7489 340.40
352.44 7.000840 2.091231E-2 0.671961  1.014E-4 7.75355 7557 339.65
351.51 7.000840 2.089635E-2 0.672151  1.013E-4 7.75088 7626 338.90
350.62 7.000840 2.089564E-2 0.672342  1.013E-4 7.74954 7695 338.25
349.74 7.000840 2.088720E-2 0.672539  1.013E-4 7.74836 7764 337.50
348.87 7.000840 2.085324E-2 0.672712  1.012E-4 7.74678 7832 336.80
348.01 7.000840 2.084523E-2 0.672874  1.012E-4 7.74587 7901 336.10
347.18 7.000840 2.081809E-2 0.673007  1.011E-4 7.74453 7970 335.50
346.37 7.000840 2.081156E-2 0.673138  1.012E-4 7.74397 8038 334.85
345.57 7.000840 2.077242E-2 0.673277  1.012E-4 7.74201 8107 334.20
344.78 7.000840 2.077249E-2 0.673424  1.012E-4 7.74038 8176 333.55
344.01 7.000840 2.074461E-2 0.673549  1.011E-4 7.74003 8244 332.95
343.25 7.000840 2.071836E-2 0.673666  1.011E-4 7.73865 8313 332.35
342.54 7.000840 2.071697E-2 0.673798  1.011E-4 7.73744 8382 331.75
341.81 7.000840 2.070005E-2 0.673933  1.011E-4 7.73588 8451 331.15
341.05 7.000840 2.069938E-2 0.674084  1.010E-4 7.73477 8519 330.55
340.41 7.000840 2.068974E-2 0.674204  1.010E-4 7.73376 8588 329.95
339.72 7.000840 2.068859E-2 0.674335  1.010E-4 7.73310 8657 329.45
339.02 7.000840 2.066820E-2 0.674485  1.010E-4 7.73129 8725 328.90
338.39 7.000840 2.065322E-2 0.674632  1.010E-4 7.73057 8794 328.35
337.73 7.000840 2.066179E-2 0.674783  1.009E-4 7.72879 8863 327.90
337.09 7.000840 2.063561E-2 0.674938  1.009E-4 7.72814 8931 327.35
336.47 7.000840 2.063667E-2 0.675082  1.008E-4 7.72685 9000 326.85
335.85 7.000840 2.061612E-2 0.675212  1.009E-4 7.72562 9069 326.40
335.25 7.000840 2.061180E-2 0.675313  1.009E-4 7.72546 9138 325.90
334.66 7.000840 2.060816E-2 0.675417  1.008E-4 7.72486 9206 325.50
334.05 7.000840 2.060581E-2 0.675525  1.008E-4 7.72396 9275 325.10
333.52 7.000840 2.058424E-2 0.675657  1.008E-4 7.72288 9344 324.60
332.96 7.000840 2.056354E-2 0.675774  1.008E-4 7.72177 9412 324.25
332.40 7.000840 2.056297E-2 0.675889  1.007E-4 7.72154 9481 323.80
331.86 7.000840 2.055945E-2 0.676001  1.007E-4 7.72087 9550 323.40
331.33 7.000840 2.054428E-2 0.676118  1.007E-4 7.72089 9618 323.00
330.82 7.000840 2.052924E-2 0.676216  1.007E-4 7.71945 9687 322.60
330.30 7.000840 2.053620E-2 0.676326  1.007E-4 7.71863 9756 322.25
329.83 7.000840 2.052302E-2 0.676434  1.007E-4 7.71863 9825 321.90
329.30 7.000840 2.051088E-2 0.676547  1.007E-4 7.71746 9893 321.45
328.84 7.000840 2.050248E-2 0.676631  1.007E-4 7.71729 9962 321.05
328.35 7.000840 2.048302E-2 0.676713  1.006E-4 7.71618 10031 320.70
