Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 10 550 2.0 290 90 5.000  60 3.0E-1
28.11.2013, 22:27

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
538.51 5.000000 1.864646E-2 0.614212  1.114E-4 8.04207 65 549.60
538.48 5.000000 1.860806E-2 0.614209  1.115E-4 8.04279 134 548.35
538.31 5.000000 1.860128E-2 0.614234  1.114E-4 8.04322 203 546.45
537.93 5.000000 1.864052E-2 0.614291  1.114E-4 8.04357 272 544.25
537.34 5.000000 1.864663E-2 0.614366  1.114E-4 8.04358 340 542.00
536.50 5.000000 1.868953E-2 0.614460  1.114E-4 8.04348 409 539.60
535.53 5.000000 1.871887E-2 0.614564  1.114E-4 8.04181 478 537.40
534.37 5.000000 1.877299E-2 0.614718  1.114E-4 8.04144 546 535.10
533.02 5.000000 1.883158E-2 0.614908  1.113E-4 8.04013 615 532.80
531.63 5.000000 1.890236E-2 0.615107  1.113E-4 8.03903 684 530.55
530.06 5.000000 1.900308E-2 0.615342  1.112E-4 8.03759 752 528.25
528.51 5.000000 1.912406E-2 0.615615  1.111E-4 8.03531 821 525.90
526.89 5.000000 1.926422E-2 0.615932  1.111E-4 8.03449 890 523.65
525.16 5.000000 1.945040E-2 0.616308  1.110E-4 8.03307 959 521.30
523.38 5.000000 1.958128E-2 0.616700  1.109E-4 8.03029 1027 519.10
521.55 5.000000 1.978281E-2 0.617126  1.108E-4 8.02845 1096 516.95
519.70 5.000000 1.998981E-2 0.617611  1.107E-4 8.02519 1165 514.75
517.80 5.000000 2.019390E-2 0.618061  1.107E-4 8.02261 1233 512.30
515.83 5.000000 2.041918E-2 0.618566  1.107E-4 8.02151 1302 509.90
513.81 5.000000 2.065186E-2 0.619102  1.105E-4 8.01668 1371 507.45
511.76 5.000000 2.090350E-2 0.619645  1.103E-4 8.01318 1439 505.10
509.69 5.000000 2.118012E-2 0.620214  1.103E-4 8.00980 1508 502.70
507.57 5.000000 2.148060E-2 0.620783  1.102E-4 8.00626 1577 500.35
505.43 5.000000 2.182538E-2 0.621378  1.100E-4 8.00211 1646 498.10
