Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 19 290 2.0 550 60 10.000  60 3.0E-1
30.11.2013, 04:55

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
312.78 10.000000 2.843755E-2 0.664347  1.018E-4 7.69514 65 308.65
312.59 10.000000 2.847517E-2 0.664441  1.018E-4 7.69441 134 308.60
312.39 10.000000 2.851745E-2 0.664520  1.018E-4 7.69484 202 309.00
312.22 10.000000 2.850529E-2 0.664566  1.017E-4 7.69405 271 310.45
312.12 10.000000 2.852242E-2 0.664599  1.018E-4 7.69410 339 312.90
312.09 10.000000 2.856895E-2 0.664666  1.017E-4 7.69320 408 315.80
312.15 10.000000 2.849837E-2 0.664677  1.017E-4 7.69339 476 318.95
312.33 10.000000 2.856099E-2 0.664616  1.017E-4 7.69371 545 322.00
312.61 10.000000 2.852236E-2 0.664616  1.018E-4 7.69339 613 324.90
312.97 10.000000 2.847469E-2 0.664500  1.018E-4 7.69363 682 327.65
313.44 10.000000 2.843045E-2 0.664457  1.017E-4 7.69419 750 330.30
313.98 10.000000 2.838695E-2 0.664351  1.018E-4 7.69379 819 332.75
314.60 10.000000 2.836906E-2 0.664268  1.018E-4 7.69477 887 335.25
315.29 10.000000 2.829855E-2 0.664122  1.019E-4 7.69443 956 337.65
316.06 10.000000 2.832745E-2 0.663902  1.019E-4 7.69416 1025 340.00
316.90 10.000000 2.826558E-2 0.663754  1.019E-4 7.69491 1093 342.35
317.80 10.000000 2.816564E-2 0.663514  1.020E-4 7.69472 1162 344.70
318.76 10.000000 2.817362E-2 0.663367  1.020E-4 7.69478 1230 346.95
319.79 10.000000 2.832476E-2 0.663131  1.020E-4 7.69533 1299 349.20
320.88 10.000000 2.827117E-2 0.662929  1.020E-4 7.69522 1367 351.40
322.03 10.000000 2.823156E-2 0.662640  1.021E-4 7.69562 1436 353.65
323.24 10.000000 2.832208E-2 0.662371  1.022E-4 7.69522 1504 355.90
324.50 10.000000 2.823071E-2 0.662068  1.021E-4 7.69606 1573 358.10
325.81 10.000000 2.824427E-2 0.661779  1.024E-4 7.69574 1641 360.40
327.18 10.000000 2.834557E-2 0.661443  1.023E-4 7.69656 1710 362.70
328.59 10.000000 2.833252E-2 0.661080  1.024E-4 7.69619 1778 365.00
330.06 10.000000 2.829238E-2 0.660757  1.023E-4 7.69677 1847 367.30
331.59 10.000000 2.832004E-2 0.660452  1.025E-4 7.69671 1915 369.65
333.16 10.000000 2.833954E-2 0.660057  1.025E-4 7.69763 1984 371.90
334.78 10.000000 2.830391E-2 0.659686  1.025E-4 7.69698 2052 374.25
336.44 10.000000 2.831637E-2 0.659308  1.026E-4 7.69760 2121 376.55
338.14 10.000000 2.829260E-2 0.658911  1.026E-4 7.69775 2189 378.80
339.88 10.000000 2.828471E-2 0.658562  1.028E-4 7.69819 2258 381.10
341.65 10.000000 2.831123E-2 0.658167  1.027E-4 7.69856 2326 383.40
343.46 10.000000 2.823369E-2 0.657799  1.028E-4 7.69849 2395 385.65
345.31 10.000000 2.823424E-2 0.657410  1.029E-4 7.69919 2463 387.95
347.21 10.000000 2.824357E-2 0.657088  1.030E-4 7.69931 2532 390.30
349.15 10.000000 2.825079E-2 0.656741  1.030E-4 7.69967 2600 392.60
351.14 10.000000 2.831802E-2 0.656439  1.031E-4 7.70043 2669 394.90
353.15 10.000000 2.832185E-2 0.656046  1.031E-4 7.70117 2737 397.10
355.20 10.000000 2.836729E-2 0.655628  1.032E-4 7.70219 2806 399.40
357.28 10.000000 2.824787E-2 0.655265  1.034E-4 7.70173 2874 401.70
359.39 10.000000 2.823196E-2 0.654829  1.033E-4 7.70460 2943 404.00
361.56 10.000000 2.824482E-2 0.654453  1.034E-4 7.70487 3012 406.30
363.68 10.000000 2.819042E-2 0.654031  1.034E-4 7.70653 3080 408.60
365.85 10.000000 2.824820E-2 0.653590  1.035E-4 7.70645 3149 410.80
368.05 10.000000 2.817124E-2 0.653116  1.036E-4 7.70867 3217 413.05
370.27 10.000000 2.811658E-2 0.652767  1.037E-4 7.70997 3286 415.30
372.50 10.000000 2.808738E-2 0.652347  1.038E-4 7.71136 3355 417.60
374.75 10.000000 2.807437E-2 0.651973  1.037E-4 7.71323 3423 419.90
377.03 10.000000 2.809794E-2 0.651642  1.038E-4 7.71530 3492 422.25
379.33 10.000000 2.818352E-2 0.651271  1.040E-4 7.71712 3560 424.55
381.65 10.000000 2.820947E-2 0.650916  1.039E-4 7.71948 3629 426.90
384.01 10.000000 2.824756E-2 0.650445  1.040E-4 7.72240 3698 429.20
386.41 10.000000 2.825635E-2 0.650002  1.040E-4 7.72496 3766 431.55
388.84 10.000000 2.829356E-2 0.649521  1.041E-4 7.72816 3835 433.80
391.29 10.000000 2.831976E-2 0.649032  1.043E-4 7.73023 3903 436.10
393.83 10.000000 2.835953E-2 0.648552  1.043E-4 7.73339 3972 438.35
396.35 10.000000 2.839562E-2 0.648097  1.044E-4 7.73528 4041 440.30
398.84 10.000000 2.843539E-2 0.647619  1.044E-4 7.73955 4109 442.50
401.48 10.000000 2.853790E-2 0.647174  1.047E-4 7.74044 4178 444.85
404.15 10.000000 2.861189E-2 0.646674  1.046E-4 7.74589 4246 447.25
406.81 10.000000 2.872814E-2 0.646166  1.047E-4 7.74853 4315 449.55
409.54 10.000000 2.883140E-2 0.645615  1.050E-4 7.75216 4384 451.85
