Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 18 550 2.0 290 90 9.000  60 3.0E-1
30.11.2013, 01:14

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
539.20 9.002521 3.186992E-2 0.597763  1.134E-4 8.05480 66 549.55
539.22 9.002521 3.187369E-2 0.597773  1.135E-4 8.05519 134 548.30
538.98 9.002521 3.191298E-2 0.597819  1.134E-4 8.05540 203 546.35
538.62 9.002521 3.192899E-2 0.597858  1.134E-4 8.05471 272 544.10
538.07 9.002521 3.198539E-2 0.597925  1.134E-4 8.05472 341 541.85
537.27 9.002521 3.203619E-2 0.598018  1.134E-4 8.05414 410 539.60
536.32 9.002521 3.210782E-2 0.598143  1.134E-4 8.05348 478 537.35
535.24 9.002521 3.216935E-2 0.598278  1.133E-4 8.05215 547 535.10
533.93 9.002521 3.227622E-2 0.598456  1.133E-4 8.05051 616 532.80
532.52 9.002521 3.236680E-2 0.598634  1.132E-4 8.04910 685 530.50
530.96 9.002521 3.247589E-2 0.598863  1.132E-4 8.04763 754 528.20
529.38 9.002521 3.263415E-2 0.599109  1.131E-4 8.04562 822 525.90
527.68 9.002521 3.281646E-2 0.599417  1.131E-4 8.04302 891 523.60
525.90 9.002521 3.301843E-2 0.599754  1.130E-4 8.04115 960 521.30
524.08 9.002521 3.323051E-2 0.600111  1.129E-4 8.03855 1029 519.00
522.21 9.002521 3.349131E-2 0.600511  1.129E-4 8.03535 1098 516.80
520.33 9.002521 3.373936E-2 0.600924  1.128E-4 8.03237 1166 514.60
518.40 9.002521 3.399550E-2 0.601376  1.127E-4 8.03022 1235 512.25
516.41 9.002521 3.430043E-2 0.601845  1.126E-4 8.02684 1304 509.85
514.37 9.002521 3.463229E-2 0.602345  1.125E-4 8.02292 1373 507.45
512.31 9.002521 3.499304E-2 0.602874  1.124E-4 8.01970 1442 505.05
510.21 9.002521 3.539697E-2 0.603449  1.123E-4 8.01548 1510 502.65
508.05 9.002521 3.582979E-2 0.604078  1.122E-4 8.01192 1579 500.30
505.89 9.002521 3.630513E-2 0.604714  1.121E-4 8.00680 1648 498.10
503.74 9.002521 3.679950E-2 0.605375  1.120E-4 8.00356 1717 495.85
501.56 9.002521 3.733639E-2 0.606084  1.118E-4 7.99981 1786 493.60
499.37 9.002521 3.788011E-2 0.606815  1.117E-4 7.99645 1854 491.30
497.19 9.002521 3.848622E-2 0.607568  1.116E-4 7.99184 1923 489.00
495.02 9.002521 3.912431E-2 0.608381  1.114E-4 7.98779 1992 486.70
492.85 9.002521 3.979769E-2 0.609207  1.112E-4 7.98326 2061 484.45
490.68 9.002521 4.046906E-2 0.610088  1.111E-4 7.97856 2130 482.10
488.50 9.002521 4.117731E-2 0.611016  1.109E-4 7.97406 2198 479.80
486.35 9.002521 4.191899E-2 0.612017  1.107E-4 7.97040 2267 477.50
484.19 9.002521 4.268187E-2 0.613077  1.105E-4 7.96633 2336 475.20
482.02 9.002521 4.344804E-2 0.614195  1.102E-4 7.96271 2405 472.95
479.86 9.002521 4.419818E-2 0.615383  1.101E-4 7.95825 2474 470.65
477.70 9.002521 4.494290E-2 0.616639  1.099E-4 7.95407 2542 468.35
475.50 9.002521 4.566448E-2 0.617965  1.096E-4 7.94997 2611 466.10
473.35 9.002521 4.631222E-2 0.619382  1.094E-4 7.94618 2680 463.80
471.27 9.002521 4.689955E-2 0.620842  1.091E-4 7.94165 2749 461.55
469.08 9.002521 4.733422E-2 0.622374  1.089E-4 7.93814 2817 459.25
466.97 9.002521 4.766320E-2 0.623961  1.086E-4 7.93423 2886 457.05
464.88 9.002521 4.787008E-2 0.625596  1.083E-4 7.92993 2955 454.80
462.79 9.002521 4.793867E-2 0.627245  1.080E-4 7.92633 3024 452.45
460.69 9.002521 4.781640E-2 0.628906  1.077E-4 7.92328 3092 450.05
458.60 9.002521 4.751712E-2 0.630542  1.074E-4 7.91899 3161 447.70
456.48 9.002521 4.702270E-2 0.632150  1.072E-4 7.91587 3230 445.35
454.37 9.002521 4.637342E-2 0.633745  1.070E-4 7.91160 3298 443.05
452.27 9.002521 4.558970E-2 0.635229  1.067E-4 7.90823 3367 440.80
