Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 1 297 2.0 550 15 1.000  20 3.0E-1
20.11.2013, 12:18

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
457.46 1.000576 1.938127E-2 0.639258  1.074E-4 8.10845 6023 494.60
458.59 1.000576 1.921785E-2 0.638503  1.094E-4 8.12435 6052 495.55
459.74 1.000576 1.901621E-2 0.637628  1.054E-4 8.09216 6082 496.55
460.88 1.000576 1.902024E-2 0.636802  1.077E-4 8.11030 6112 497.50
462.01 1.000576 1.854497E-2 0.636095  1.072E-4 8.10764 6141 498.50
463.12 1.000576 1.836487E-2 0.635370  1.085E-4 8.11272 6171 499.55
464.30 1.000576 1.803364E-2 0.634709  1.079E-4 8.10679 6201 500.55
465.36 1.000576 1.809283E-2 0.633902  1.075E-4 8.10231 6230 501.55
466.56 1.000576 1.749718E-2 0.633464  1.116E-4 8.12672 6260 502.55
467.66 1.000576 1.724732E-2 0.632636  1.085E-4 8.10594 6290 503.45
468.80 1.000576 1.683612E-2 0.632042  1.102E-4 8.10994 6319 504.45
469.88 1.000576 1.669399E-2 0.631507  1.072E-4 8.10201 6349 505.35
470.99 1.000576 1.597703E-2 0.630969  1.095E-4 8.11062 6379 506.35
472.11 1.000576 1.576704E-2 0.630367  1.090E-4 8.10945 6409 507.35
473.23 1.000576 1.532564E-2 0.629793  1.086E-4 8.10932 6438 508.35
474.35 1.000576 1.491025E-2 0.629314  1.102E-4 8.11457 6468 509.35
475.45 1.000576 1.485044E-2 0.628955  1.098E-4 8.11428 6498 510.25
476.55 1.000576 1.409669E-2 0.628401  1.090E-4 8.10898 6527 511.35
477.66 1.000576 1.367345E-2 0.628077  1.094E-4 8.11173 6557 512.25
478.76 1.000576 1.333613E-2 0.627532  1.096E-4 8.11417 6587 513.25
479.87 1.000576 1.302462E-2 0.627253  1.096E-4 8.11496 6616 514.20
480.96 1.000576 1.262742E-2 0.626847  1.098E-4 8.11531 6646 515.25
482.03 1.000576 1.209596E-2 0.626445  1.100E-4 8.11545 6676 516.20
483.16 1.000576 1.200265E-2 0.626156  1.099E-4 8.11541 6706 517.25
484.28 1.000576 1.153465E-2 0.625972  1.099E-4 8.11536 6735 518.25
485.35 1.000576 1.111946E-2 0.625567  1.100E-4 8.11715 6765 519.20
486.43 1.000576 1.097400E-2 0.625275  1.101E-4 8.11780 6795 520.25
487.53 1.000576 1.050540E-2 0.625058  1.101E-4 8.11921 6824 521.25
488.61 1.000576 1.036165E-2 0.624796  1.100E-4 8.12022 6854 522.20
489.68 1.000576 9.946085E-3 0.624409  1.102E-4 8.11923 6884 523.25
490.71 1.000576 9.852633E-3 0.624141  1.103E-4 8.12105 6913 524.15
491.81 1.000576 9.575606E-3 0.623873  1.101E-4 8.12378 6943 525.25
492.87 1.000576 9.437051E-3 0.623698  1.113E-4 8.12757 6973 526.15
493.94 1.000576 9.060946E-3 0.623294  1.110E-4 8.12853 7003 527.15
495.04 1.000576 8.908816E-3 0.623056  1.101E-4 8.11698 7032 528.10
496.10 1.000576 8.669147E-3 0.622693  1.101E-4 8.12135 7062 529.15
497.20 1.000576 8.335209E-3 0.622566  1.106E-4 8.12394 7092 530.05
498.30 1.000576 8.298350E-3 0.622438  1.104E-4 8.12449 7121 531.05
499.39 1.000576 8.093625E-3 0.622053  1.106E-4 8.12549 7151 532.05
500.47 1.000576 8.179186E-3 0.621983  1.106E-4 8.12374 7181 532.95
501.61 1.000576 8.124761E-3 0.621629  1.106E-4 8.12496 7210 534.00
502.69 1.000576 7.783462E-3 0.621526  1.106E-4 8.12693 7240 534.95
503.77 1.000576 7.721621E-3 0.621337  1.107E-4 8.12791 7270 535.95
504.85 1.000576 7.386879E-3 0.621320  1.107E-4 8.12793 7300 537.05
505.94 1.000576 7.408388E-3 0.621104  1.107E-4 8.12857 7329 538.05
507.03 1.000576 7.315371E-3 0.620913  1.108E-4 8.13026 7359 539.05
508.13 1.000576 7.324689E-3 0.620683  1.108E-4 8.13011 7389 540.05
509.25 1.000576 6.881187E-3 0.620480  1.107E-4 8.13159 7418 541.05
510.37 1.000576 6.929859E-3 0.620300  1.109E-4 8.13230 7448 542.05
511.46 1.000576 6.977581E-3 0.620199  1.108E-4 8.13395 7478 543.00
512.56 1.000576 6.873192E-3 0.619922  1.110E-4 8.13444 7507 543.95
513.63 1.000576 6.671035E-3 0.619791  1.110E-4 8.13490 7537 544.95
514.75 1.000576 6.637813E-3 0.619571  1.110E-4 8.13634 7567 545.90
515.80 1.000576 6.663285E-3 0.619511  1.110E-4 8.13691 7596 546.85
516.87 1.000576 6.599269E-3 0.619280  1.110E-4 8.13666 7626 547.90
517.96 1.000576 6.692881E-3 0.618982  1.112E-4 8.13704 7656 548.75
519.04 1.000576 6.539203E-3 0.618849  1.112E-4 8.13787 7686 549.35
520.10 1.000576 6.416002E-3 0.618743  1.111E-4 8.13802 7715 549.70
521.15 1.000576 6.319512E-3 0.618546  1.114E-4 8.13728 7745 549.95
522.16 1.000576 6.344434E-3 0.618488  1.110E-4 8.13707 7775 550.10
523.12 1.000576 6.247570E-3 0.618267  1.112E-4 8.13548 7804 550.15
524.02 1.000576 6.175505E-3 0.618147  1.113E-4 8.13633 7834 550.20
524.88 1.000576 6.343089E-3 0.618002  1.114E-4 8.13665 7864 550.30
525.72 1.000576 6.463327E-3 0.617864  1.112E-4 8.13512 7893 550.30
526.52 1.000576 6.063026E-3 0.617756  1.113E-4 8.13368 7923 550.30
527.27 1.000576 6.230064E-3 0.617721  1.114E-4 8.13284 7953 550.30
527.97 1.000576 6.235358E-3 0.617465  1.114E-4 8.13237 7983 550.35
528.63 1.000576 5.961582E-3 0.617570  1.113E-4 8.13166 8012 550.30
529.25 1.000576 6.155244E-3 0.617520  1.114E-4 8.13061 8042 550.30
529.86 1.000576 6.336919E-3 0.617206  1.115E-4 8.13055 8072 550.30
530.41 1.000576 6.120362E-3 0.617291  1.115E-4 8.12953 8101 550.30
530.93 1.000576 6.263597E-3 0.617117  1.115E-4 8.12694 8131 550.40
531.41 1.000576 6.111013E-3 0.617162  1.115E-4 8.12695 8161 550.40
531.86 1.000576 6.032881E-3 0.617104  1.114E-4 8.12748 8190 550.40
532.24 1.000576 6.239255E-3 0.616919  1.116E-4 8.12596 8220 550.40
532.59 1.000576 6.131257E-3 0.616993  1.115E-4 8.12533 8250 550.35
532.91 1.000576 6.141777E-3 0.616760  1.116E-4 8.12496 8280 550.30
533.23 1.000576 6.116690E-3 0.616860  1.115E-4 8.12226 8309 550.30
533.52 1.000576 6.163543E-3 0.616787  1.115E-4 8.12161 8339 550.20
533.81 1.000576 6.228957E-3 0.616631  1.116E-4 8.12177 8369 550.15
534.05 1.000576 6.137679E-3 0.616796  1.115E-4 8.12145 8398 550.15
534.24 1.000576 6.060443E-3 0.616488  1.115E-4 8.12025 8428 550.10
534.48 1.000576 6.204697E-3 0.616661  1.117E-4 8.11974 8458 550.10
534.72 1.000576 5.933525E-3 0.616622  1.116E-4 8.11885 8487 550.10
534.90 1.000576 6.140130E-3 0.616480  1.116E-4 8.11706 8517 550.10
