Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 11 290 2.0 550 60 6.000  60 3.0E-1
29.11.2013, 02:08

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
312.71 6.000960 1.769560E-2 0.683712  9.992E-5 7.69689 66 309.00
312.49 6.000960 1.767789E-2 0.683742  9.991E-5 7.69677 134 308.85
312.29 6.000960 1.768450E-2 0.683788  9.998E-5 7.69641 203 309.40
312.11 6.000960 1.766801E-2 0.683819  9.982E-5 7.69569 272 310.95
312.00 6.000960 1.767296E-2 0.683860  9.991E-5 7.69570 340 313.55
311.95 6.000960 1.765453E-2 0.683872  9.993E-5 7.69477 409 316.35
311.97 6.000960 1.761120E-2 0.683872  9.993E-5 7.69562 477 319.35
312.09 6.000960 1.760450E-2 0.683867  9.992E-5 7.69492 546 322.25
312.30 6.000960 1.757056E-2 0.683843  9.989E-5 7.69556 615 325.05
312.61 6.000960 1.753932E-2 0.683791  9.992E-5 7.69511 683 327.80
312.99 6.000960 1.753030E-2 0.683762  9.996E-5 7.69553 752 330.50
313.46 6.000960 1.751310E-2 0.683707  9.992E-5 7.69571 820 333.00
314.01 6.000960 1.751129E-2 0.683620  9.987E-5 7.69554 889 335.45
314.64 6.000960 1.749092E-2 0.683512  9.997E-5 7.69558 958 337.90
315.34 6.000960 1.746899E-2 0.683380  1.000E-4 7.69562 1026 340.25
316.10 6.000960 1.749690E-2 0.683228  1.000E-4 7.69554 1095 342.70
316.94 6.000960 1.750186E-2 0.683063  9.997E-5 7.69614 1164 345.00
317.84 6.000960 1.750449E-2 0.682896  1.000E-4 7.69617 1232 347.40
318.81 6.000960 1.750595E-2 0.682678  1.001E-4 7.69585 1301 349.70
319.82 6.000960 1.753369E-2 0.682449  1.002E-4 7.69630 1369 352.00
320.91 6.000960 1.754385E-2 0.682203  1.002E-4 7.69620 1438 354.30
322.04 6.000960 1.753407E-2 0.681945  1.002E-4 7.69639 1507 356.50
323.22 6.000960 1.753904E-2 0.681657  1.003E-4 7.69639 1575 358.70
324.45 6.000960 1.753927E-2 0.681354  1.002E-4 7.69703 1644 360.90
325.71 6.000960 1.756358E-2 0.681032  1.004E-4 7.69643 1713 363.20
327.03 6.000960 1.755602E-2 0.680696  1.004E-4 7.69633 1781 365.40
328.44 6.000960 1.755409E-2 0.680351  1.005E-4 7.69651 1850 367.70
329.80 6.000960 1.755197E-2 0.680005  1.006E-4 7.69727 1919 370.00
331.26 6.000960 1.754601E-2 0.679626  1.005E-4 7.69729 1987 372.30
332.77 6.000960 1.756339E-2 0.679246  1.006E-4 7.69788 2056 374.60
334.32 6.000960 1.756031E-2 0.678859  1.008E-4 7.69787 2125 376.90
335.91 6.000960 1.756979E-2 0.678457  1.007E-4 7.69795 2193 379.20
337.54 6.000960 1.756547E-2 0.678066  1.008E-4 7.69870 2262 381.50
339.22 6.000960 1.757032E-2 0.677657  1.009E-4 7.69794 2330 383.80
340.94 6.000960 1.753369E-2 0.677262  1.009E-4 7.69837 2399 386.05
342.70 6.000960 1.751461E-2 0.676885  1.009E-4 7.69821 2468 388.35
344.47 6.000960 1.749259E-2 0.676534  1.011E-4 7.69919 2536 390.70
346.33 6.000960 1.748110E-2 0.676176  1.010E-4 7.69921 2605 393.00
348.17 6.000960 1.747616E-2 0.675819  1.011E-4 7.69996 2674 395.30
350.12 6.000960 1.746936E-2 0.675457  1.012E-4 7.69948 2742 397.50
352.04 6.000960 1.747770E-2 0.675108  1.013E-4 7.70058 2811 399.80
354.07 6.000960 1.746863E-2 0.674750  1.013E-4 7.70079 2880 402.10
356.15 6.000960 1.747142E-2 0.674366  1.014E-4 7.70105 2948 404.40
358.17 6.000960 1.744359E-2 0.673970  1.014E-4 7.70175 3017 406.70
360.30 6.000960 1.745022E-2 0.673587  1.015E-4 7.70301 3086 409.00
362.47 6.000960 1.744376E-2 0.673183  1.015E-4 7.70461 3154 411.25
364.66 6.000960 1.743041E-2 0.672773  1.016E-4 7.70571 3223 413.55
366.87 6.000960 1.743521E-2 0.672391  1.017E-4 7.70629 3292 415.80
369.12 6.000960 1.743406E-2 0.671971  1.017E-4 7.70815 3360 418.00
371.43 6.000960 1.745820E-2 0.671567  1.018E-4 7.70865 3429 420.35
373.70 6.000960 1.742404E-2 0.671181  1.018E-4 7.70997 3498 422.65
376.04 6.000960 1.743496E-2 0.670818  1.019E-4 7.71191 3566 425.05
378.42 6.000960 1.743977E-2 0.670470  1.020E-4 7.71432 3635 427.35
380.86 6.000960 1.749652E-2 0.670119  1.021E-4 7.71578 3704 429.70
383.24 6.000960 1.753864E-2 0.669753  1.021E-4 7.71767 3773 432.05
385.69 6.000960 1.760176E-2 0.669362  1.021E-4 7.71976 3841 434.40
388.16 6.000960 1.767534E-2 0.668947  1.022E-4 7.72310 3910 436.65
390.66 6.000960 1.774089E-2 0.668495  1.022E-4 7.72564 3979 438.95
393.18 6.000960 1.781512E-2 0.668039  1.023E-4 7.72875 4047 441.30
395.70 6.000960 1.787242E-2 0.667585  1.024E-4 7.73164 4116 443.50
398.23 6.000960 1.795261E-2 0.667145  1.025E-4 7.73421 4185 445.75
400.77 6.000960 1.805555E-2 0.666713  1.025E-4 7.73762 4253 447.90
403.32 6.000960 1.818074E-2 0.666280  1.026E-4 7.74058 4322 450.05
405.87 6.000960 1.833938E-2 0.665832  1.027E-4 7.74455 4391 452.15
408.44 6.000960 1.852367E-2 0.665356  1.028E-4 7.74817 4460 454.35
411.04 6.000960 1.870898E-2 0.664842  1.028E-4 7.75248 4528 456.75
413.68 6.000960 1.894424E-2 0.664333  1.029E-4 7.75610 4597 459.15
416.36 6.000960 1.917803E-2 0.663811  1.030E-4 7.76037 4666 461.45
419.06 6.000960 1.947135E-2 0.663248  1.032E-4 7.76495 4734 463.75
421.82 6.000960 1.979987E-2 0.662633  1.032E-4 7.76883 4803 466.10
424.52 6.000960 2.013695E-2 0.662036  1.032E-4 7.77361 4872 468.45
427.21 6.000960 2.055234E-2 0.661426  1.034E-4 7.77843 4940 470.75
429.82 6.000960 2.107175E-2 0.660782  1.034E-4 7.78285 5009 473.10
432.54 6.000960 2.164032E-2 0.660093  1.035E-4 7.78803 5078 475.40
435.19 6.000960 2.227096E-2 0.659335  1.038E-4 7.79299 5147 477.70
437.80 6.000960 2.304041E-2 0.658564  1.037E-4 7.79758 5215 479.90
440.46 6.000960 2.384686E-2 0.657706  1.040E-4 7.80333 5284 482.20
443.11 6.000960 2.474457E-2 0.656761  1.042E-4 7.80831 5353 484.50
445.73 6.000960 2.568144E-2 0.655727  1.042E-4 7.81210 5421 486.70
448.33 6.000960 2.670442E-2 0.654586  1.045E-4 7.81782 5490 489.05
450.96 6.000960 2.770635E-2 0.653320  1.047E-4 7.82260 5559 491.40
453.57 6.000960 2.871442E-2 0.651922  1.049E-4 7.82911 5627 493.70
456.20 6.000960 2.964939E-2 0.650362  1.052E-4 7.83416 5696 496.05
458.80 6.000960 3.050179E-2 0.648702  1.054E-4 7.83976 5765 498.40
461.44 6.000960 3.132776E-2 0.647011  1.059E-4 7.84559 5834 500.70
464.07 6.000960 3.208793E-2 0.645312  1.059E-4 7.85186 5902 503.00
466.67 6.000960 3.269697E-2 0.643510  1.063E-4 7.85704 5971 505.15
469.26 6.000960 3.318983E-2 0.641662  1.066E-4 7.86426 6040 507.40
471.85 6.000960 3.360746E-2 0.639818  1.069E-4 7.86998 6108 509.60
474.44 6.000960 3.391326E-2 0.637937  1.072E-4 7.87640 6177 511.90
477.02 6.000960 3.407880E-2 0.635987  1.075E-4 7.88306 6246 514.20
479.60 6.000960 3.401620E-2 0.634023  1.078E-4 7.88900 6314 516.50
482.18 6.000960 3.381346E-2 0.632071  1.081E-4 7.89559 6383 518.80
484.77 6.000960 3.341903E-2 0.630153  1.085E-4 7.90310 6452 521.10
487.36 6.000960 3.292131E-2 0.628355  1.088E-4 7.90916 6521 523.45
489.93 6.000960 3.227928E-2 0.626637  1.091E-4 7.91600 6589 525.75
492.51 6.000960 3.157564E-2 0.625085  1.094E-4 7.92347 6658 528.10
495.15 6.000960 3.080214E-2 0.623644  1.096E-4 7.92948 6727 530.30
497.77 6.000960 3.001286E-2 0.622327  1.099E-4 7.93485 6795 532.60
500.38 6.000960 2.922010E-2 0.621125  1.102E-4 7.94241 6864 534.90
503.00 6.000960 2.842309E-2 0.620017  1.102E-4 7.94905 6933 537.20
505.59 6.000960 2.765837E-2 0.618999  1.104E-4 7.95426 7002 539.50
508.19 6.000960 2.691969E-2 0.618058  1.106E-4 7.96184 7070 541.80
510.77 6.000960 2.623883E-2 0.617220  1.108E-4 7.96946 7139 544.10
513.35 6.000960 2.560414E-2 0.616431  1.109E-4 7.97497 7208 546.40
515.92 6.000960 2.501883E-2 0.615730  1.111E-4 7.98146 7277 548.45
518.47 6.000960 2.450464E-2 0.615065  1.112E-4 7.98838 7346 549.60
520.92 6.000960 2.403983E-2 0.614486  1.113E-4 7.99382 7414 550.05
523.18 6.000960 2.366944E-2 0.613966  1.114E-4 7.99922 7483 550.25
525.18 6.000960 2.333892E-2 0.613523  1.114E-4 8.00205 7552 550.30
526.91 6.000960 2.306516E-2 0.613155  1.115E-4 8.00622 7621 550.30
528.43 6.000960 2.281610E-2 0.612848  1.116E-4 8.00965 7690 550.30
529.75 6.000960 2.263284E-2 0.612582  1.117E-4 8.01365 7758 550.30
530.88 6.000960 2.247280E-2 0.612355  1.117E-4 8.01649 7827 550.25
531.86 6.000960 2.234900E-2 0.612168  1.116E-4 8.01847 7896 550.20
532.67 6.000960 2.224879E-2 0.612013  1.117E-4 8.02057 7965 550.20
533.38 6.000960 2.214963E-2 0.611882  1.117E-4 8.02235 8034 550.15
533.99 6.000960 2.207906E-2 0.611755  1.118E-4 8.02485 8102 550.10
534.56 6.000960 2.203725E-2 0.611638  1.118E-4 8.02585 8171 550.10
534.97 6.000960 2.196937E-2 0.611540  1.118E-4 8.02713 8240 550.10
535.37 6.000960 2.193114E-2 0.611467  1.118E-4 8.02847 8309 550.10
535.75 6.000960 2.188075E-2 0.611387  1.118E-4 8.02854 8378 550.10
536.05 6.000960 2.186934E-2 0.611327  1.119E-4 8.02978 8446 550.05
536.35 6.000960 2.185206E-2 0.611281  1.118E-4 8.03106 8515 550.00
536.60 6.000960 2.182262E-2 0.611213  1.119E-4 8.02995 8584 550.00
536.82 6.000960 2.180987E-2 0.611173  1.118E-4 8.03119 8653 550.00
536.98 6.000960 2.182486E-2 0.611140  1.119E-4 8.03146 8722 550.00
537.13 6.000960 2.179666E-2 0.611102  1.119E-4 8.03147 8790 550.00
537.30 6.000960 2.181680E-2 0.611068  1.119E-4 8.03186 8859 550.00
537.42 6.000960 2.180556E-2 0.611041  1.119E-4 8.03246 8928 550.00
537.52 6.000960 2.181788E-2 0.611023  1.119E-4 8.03327 8997 550.05
