Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 4 550 2.0 290 90 2.000  60 3.0E-1
27.11.2013, 20:30

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
538.06 2.000000 8.791314E-3 0.620372  1.101E-4 8.07031 65 549.60
538.01 2.000000 8.736340E-3 0.620446  1.101E-4 8.07145 134 548.25
537.86 2.000000 8.775660E-3 0.620378  1.102E-4 8.07110 203 546.40
537.55 2.000000 8.802085E-3 0.620452  1.101E-4 8.07102 272 544.20
537.05 2.000000 8.830822E-3 0.620524  1.101E-4 8.07079 340 541.90
536.37 2.000000 8.813123E-3 0.620631  1.100E-4 8.07002 409 539.60
535.49 2.000000 8.871062E-3 0.620809  1.101E-4 8.07051 478 537.35
534.43 2.000000 8.871271E-3 0.620919  1.101E-4 8.07044 546 535.15
533.25 2.000000 8.897385E-3 0.621131  1.100E-4 8.06992 615 532.90
531.90 2.000000 8.830489E-3 0.621304  1.101E-4 8.06929 684 530.60
530.51 2.000000 9.038442E-3 0.621555  1.100E-4 8.06842 752 528.30
528.93 2.000000 9.076182E-3 0.621884  1.099E-4 8.06696 821 526.05
527.32 2.000000 9.049405E-3 0.622158  1.099E-4 8.06566 890 523.70
525.64 2.000000 9.100871E-3 0.622517  1.097E-4 8.06443 959 521.50
523.89 2.000000 9.195807E-3 0.622883  1.098E-4 8.06297 1027 519.20
522.09 2.000000 9.345531E-3 0.623311  1.096E-4 8.06114 1096 517.05
520.26 2.000000 9.467498E-3 0.623781  1.096E-4 8.05966 1165 514.80
518.36 2.000000 9.560672E-3 0.624257  1.095E-4 8.05765 1233 512.40
516.39 2.000000 9.613482E-3 0.624792  1.094E-4 8.05519 1302 509.90
514.37 2.000000 9.692302E-3 0.625322  1.092E-4 8.05165 1371 507.55
512.30 2.000000 9.811383E-3 0.625850  1.092E-4 8.04846 1439 505.15
510.19 2.000000 9.929798E-3 0.626518  1.090E-4 8.04496 1508 502.75
508.05 2.000000 1.000379E-2 0.627036  1.090E-4 8.04234 1577 500.50
505.89 2.000000 1.009323E-2 0.627597  1.089E-4 8.03886 1646 498.20
503.72 2.000000 1.027241E-2 0.628172  1.088E-4 8.03497 1714 496.00
501.54 2.000000 1.028760E-2 0.628752  1.087E-4 8.03206 1783 493.75
499.37 2.000000 1.052670E-2 0.629341  1.086E-4 8.02903 1852 491.50
497.18 2.000000 1.063426E-2 0.629885  1.085E-4 8.02469 1920 489.20
495.07 2.000000 1.086664E-2 0.630474  1.084E-4 8.02022 1989 486.90
492.86 2.000000 1.108515E-2 0.631005  1.083E-4 8.01767 2058 484.60
490.71 2.000000 1.135467E-2 0.631668  1.082E-4 8.01385 2126 482.30
488.58 2.000000 1.152351E-2 0.632188  1.081E-4 8.00997 2195 479.95
486.46 2.000000 1.188580E-2 0.632853  1.080E-4 8.00723 2264 477.70
484.30 2.000000 1.210298E-2 0.633465  1.079E-4 8.00410 2333 475.40
482.14 2.000000 1.237935E-2 0.634030  1.078E-4 8.00035 2401 473.10
480.05 2.000000 1.270645E-2 0.634642  1.077E-4 7.99664 2470 470.80
477.91 2.000000 1.311781E-2 0.635174  1.075E-4 7.99210 2539 468.50
475.82 2.000000 1.347854E-2 0.635780  1.075E-4 7.98986 2607 466.25
473.70 2.000000 1.404484E-2 0.636309  1.074E-4 7.98547 2676 463.95
471.67 2.000000 1.458397E-2 0.636819  1.073E-4 7.98088 2745 461.70
469.56 2.000000 1.512082E-2 0.637386  1.072E-4 7.97750 2813 459.50
467.53 2.000000 1.579764E-2 0.638001  1.072E-4 7.97437 2882 457.25
465.39 2.000000 1.643950E-2 0.638647  1.070E-4 7.97034 2951 454.95
463.34 2.000000 1.720706E-2 0.639371  1.069E-4 7.96726 3020 452.65
461.30 2.000000 1.805073E-2 0.640131  1.068E-4 7.96304 3088 450.25
459.26 2.000000 1.877674E-2 0.641000  1.066E-4 7.95898 3157 447.90
457.24 2.000000 1.971552E-2 0.641914  1.065E-4 7.95432 3226 445.60
455.17 2.000000 2.047397E-2 0.642947  1.063E-4 7.95248 3294 443.30
453.13 2.000000 2.131810E-2 0.644096  1.061E-4 7.94944 3363 441.05
451.09 2.000000 2.218518E-2 0.645290  1.059E-4 7.94581 3432 438.80
449.05 2.000000 2.296693E-2 0.646593  1.057E-4 7.94166 3500 436.55
447.02 2.000000 2.359144E-2 0.648050  1.054E-4 7.93820 3569 434.35
445.00 2.000000 2.426462E-2 0.649658  1.052E-4 7.93511 3637 432.05
442.97 2.000000 2.481938E-2 0.651405  1.050E-4 7.93155 3706 429.70
440.95 2.000000 2.515029E-2 0.653170  1.046E-4 7.92952 3775 427.40
438.93 2.000000 2.528382E-2 0.654897  1.044E-4 7.92474 3843 425.10
436.91 2.000000 2.522778E-2 0.656793  1.041E-4 7.92162 3912 422.90
434.92 2.000000 2.495446E-2 0.658543  1.037E-4 7.91936 3980 420.55
432.92 2.000000 2.457103E-2 0.660338  1.036E-4 7.91579 4049 418.25
430.93 2.000000 2.388411E-2 0.662016  1.032E-4 7.91343 4118 415.85
428.95 2.000000 2.323225E-2 0.663596  1.031E-4 7.90962 4186 413.55
426.98 2.000000 2.227150E-2 0.665041  1.028E-4 7.90616 4255 411.25
424.98 2.000000 2.127432E-2 0.666385  1.026E-4 7.90354 4323 409.00
423.07 2.000000 2.032519E-2 0.667655  1.023E-4 7.90057 4392 406.80
421.12 2.000000 1.926803E-2 0.668727  1.023E-4 7.89789 4461 404.60
419.19 2.000000 1.821628E-2 0.669720  1.021E-4 7.89530 4529 402.40
417.25 2.000000 1.723732E-2 0.670632  1.019E-4 7.89307 4598 400.15
415.32 2.000000 1.617777E-2 0.671381  1.018E-4 7.89003 4666 397.90
413.41 2.000000 1.536502E-2 0.672115  1.017E-4 7.88769 4735 395.65
411.50 2.000000 1.447769E-2 0.672743  1.016E-4 7.88465 4804 393.45
409.61 2.000000 1.367252E-2 0.673317  1.016E-4 7.88153 4872 391.20
407.73 2.000000 1.298089E-2 0.673836  1.014E-4 7.88003 4941 388.95
405.86 2.000000 1.229279E-2 0.674331  1.014E-4 7.87671 5009 386.75
403.99 2.000000 1.172775E-2 0.674802  1.013E-4 7.87356 5078 384.55
402.13 2.000000 1.124238E-2 0.675189  1.012E-4 7.87126 5147 382.35
400.27 2.000000 1.076963E-2 0.675571  1.012E-4 7.86915 5215 380.35
398.41 2.000000 1.023572E-2 0.675937  1.012E-4 7.86578 5284 378.40
396.57 2.000000 9.981712E-3 0.676419  1.012E-4 7.86244 5352 376.65
394.77 2.000000 9.616737E-3 0.676779  1.009E-4 7.85937 5421 374.90
392.98 2.000000 9.379440E-3 0.677152  1.010E-4 7.85714 5490 373.30
391.16 2.000000 9.024629E-3 0.677455  1.009E-4 7.85415 5558 371.70
389.42 2.000000 8.851891E-3 0.677823  1.009E-4 7.85128 5627 370.15
387.72 2.000000 8.642099E-3 0.678078  1.008E-4 7.84970 5695 368.60
386.04 2.000000 8.467290E-3 0.678371  1.008E-4 7.84691 5764 367.05
384.41 2.000000 8.257838E-3 0.678643  1.007E-4 7.84564 5833 365.55
382.80 2.000000 8.094651E-3 0.678941  1.008E-4 7.84314 5901 364.05
381.23 2.000000 7.918513E-3 0.679186  1.007E-4 7.84062 5970 362.60
379.67 2.000000 7.839541E-3 0.679534  1.006E-4 7.83817 6038 361.30
378.15 2.000000 7.631302E-3 0.679797  1.006E-4 7.83584 6107 360.05
376.68 2.000000 7.544850E-3 0.679931  1.006E-4 7.83386 6176 358.85
375.23 2.000000 7.431086E-3 0.680185  1.005E-4 7.83234 6244 357.70
373.82 2.000000 7.295142E-3 0.680428  1.005E-4 7.82913 6313 356.50
372.44 2.000000 7.220488E-3 0.680724  1.004E-4 7.82634 6381 355.40
371.09 2.000000 7.148461E-3 0.680910  1.003E-4 7.82502 6450 354.35
369.77 2.000000 7.081867E-3 0.681058  1.005E-4 7.82324 6519 353.30
368.48 2.000000 7.029305E-3 0.681272  1.004E-4 7.82040 6587 352.25
367.21 2.000000 7.045688E-3 0.681546  1.004E-4 7.81828 6656 351.35
365.98 2.000000 6.984883E-3 0.681746  1.003E-4 7.81699 6724 350.40
364.75 2.000000 6.907348E-3 0.681934  1.003E-4 7.81518 6793 349.40
363.55 2.000000 6.877350E-3 0.682195  1.002E-4 7.81241 6862 348.40
362.41 2.000000 6.830229E-3 0.682314  1.002E-4 7.81037 6930 347.45
