Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 9 380 2.0 390 120 1.000  20 1.0E-1
22.11.2013, 00:57

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
375.21 1.000576 3.191916E-3 0.674343  3.405E-5 8.47745 2239 390.00
375.24 1.000576 3.691485E-3 0.674587  3.401E-5 8.47775 2269 390.00
375.28 1.000576 3.399781E-3 0.674770  3.395E-5 8.47714 2299 390.00
375.32 1.000576 3.113030E-3 0.674509  3.399E-5 8.47733 2329 390.00
375.35 1.000576 3.546158E-3 0.674318  3.381E-5 8.47649 2359 390.00
375.40 1.000576 3.246973E-3 0.674409  3.403E-5 8.47803 2389 390.00
375.43 1.000576 3.258256E-3 0.674503  3.401E-5 8.47702 2418 390.00
375.47 1.000576 3.146142E-3 0.674809  3.399E-5 8.47695 2448 390.00
375.50 1.000576 3.429348E-3 0.674596  3.397E-5 8.47629 2478 390.00
375.52 1.000576 3.295320E-3 0.674401  3.398E-5 8.47598 2508 390.00
375.55 1.000576 2.999127E-3 0.674327  3.383E-5 8.47667 2538 390.00
375.59 1.000576 3.597432E-3 0.674620  3.395E-5 8.47630 2568 390.00
375.62 1.000576 3.180187E-3 0.674182  3.396E-5 8.47627 2598 390.00
375.66 1.000576 3.045973E-3 0.674504  3.390E-5 8.47680 2628 390.00
375.68 1.000576 2.970011E-3 0.674358  3.388E-5 8.47612 2658 390.00
375.71 1.000576 3.233215E-3 0.674110  3.397E-5 8.47594 2688 390.00
375.74 1.000576 3.458041E-3 0.674523  3.393E-5 8.47591 2717 390.00
375.76 1.000576 2.548484E-3 0.674338  3.380E-5 8.47591 2747 390.00
375.78 1.000576 2.995382E-3 0.674288  3.384E-5 8.47505 2777 390.00
375.82 1.000576 3.347198E-3 0.674294  3.386E-5 8.47468 2807 390.00
375.85 1.000576 3.254222E-3 0.674347  3.386E-5 8.47635 2837 390.00
375.88 1.000576 3.302534E-3 0.674434  3.399E-5 8.47495 2867 390.00
375.91 1.000576 3.346165E-3 0.674538  3.404E-5 8.47443 2897 390.00
375.93 1.000576 3.177875E-3 0.674456  3.389E-5 8.47480 2927 390.00
375.96 1.000576 2.986147E-3 0.674574  3.391E-5 8.47551 2957 390.00
375.98 1.000576 3.328033E-3 0.674182  3.394E-5 8.47556 2987 390.00
376.01 1.000576 3.198371E-3 0.674441  3.374E-5 8.47627 3016 390.00
376.03 1.000576 3.128504E-3 0.674413  3.409E-5 8.47506 3046 390.00
376.06 1.000576 2.858901E-3 0.674586  3.397E-5 8.47529 3076 390.00
376.07 1.000576 3.274634E-3 0.674413  3.377E-5 8.47507 3106 390.00
376.10 1.000576 3.393249E-3 0.674653  3.394E-5 8.47375 3136 390.00
376.11 1.000576 3.257873E-3 0.674383  3.385E-5 8.47471 3166 390.00
376.14 1.000576 3.271168E-3 0.674459  3.397E-5 8.47394 3196 390.00
376.17 1.000576 3.203336E-3 0.674347  3.402E-5 8.47302 3226 390.00
376.19 1.000576 3.590223E-3 0.674505  3.400E-5 8.47574 3256 390.00
376.20 1.000576 3.410589E-3 0.674154  3.394E-5 8.47429 3286 390.00
376.25 1.000576 3.664113E-3 0.674393  3.386E-5 8.47410 3315 390.00
