Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 15 290 2.0 550 60 8.000  60 3.0E-1
29.11.2013, 15:32

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
312.81 8.000000 2.248213E-2 0.674827  1.009E-4 7.69585 65 309.05
312.60 8.000000 2.245654E-2 0.674845  1.007E-4 7.69596 134 308.95
312.37 8.000000 2.247383E-2 0.674904  1.008E-4 7.69568 203 309.55
312.18 8.000000 2.249008E-2 0.674968  1.007E-4 7.69493 271 311.10
312.09 8.000000 2.249996E-2 0.675022  1.008E-4 7.69571 340 313.65
312.02 8.000000 2.247975E-2 0.675050  1.007E-4 7.69446 408 316.55
312.05 8.000000 2.250479E-2 0.675095  1.007E-4 7.69506 477 319.55
312.19 8.000000 2.247703E-2 0.675083  1.007E-4 7.69557 545 322.25
312.40 8.000000 2.244410E-2 0.675044  1.008E-4 7.69568 614 325.05
312.70 8.000000 2.243481E-2 0.675001  1.007E-4 7.69609 682 327.80
313.11 8.000000 2.242128E-2 0.674946  1.008E-4 7.69552 751 330.45
313.58 8.000000 2.239903E-2 0.674862  1.008E-4 7.69528 819 333.00
314.14 8.000000 2.239616E-2 0.674781  1.008E-4 7.69547 888 335.55
314.78 8.000000 2.239220E-2 0.674684  1.009E-4 7.69593 956 337.95
315.49 8.000000 2.239220E-2 0.674571  1.008E-4 7.69639 1025 340.25
316.26 8.000000 2.239781E-2 0.674384  1.009E-4 7.69662 1093 342.65
317.09 8.000000 2.237449E-2 0.674145  1.009E-4 7.69542 1162 345.00
317.97 8.000000 2.236070E-2 0.673970  1.010E-4 7.69612 1230 347.30
318.92 8.000000 2.236708E-2 0.673763  1.009E-4 7.69646 1299 349.65
319.93 8.000000 2.236049E-2 0.673535  1.010E-4 7.69612 1367 351.95
321.00 8.000000 2.236432E-2 0.673317  1.010E-4 7.69686 1436 354.20
322.13 8.000000 2.236088E-2 0.673022  1.011E-4 7.69672 1504 356.40
323.30 8.000000 2.235593E-2 0.672716  1.011E-4 7.69710 1573 358.60
324.51 8.000000 2.237362E-2 0.672431  1.012E-4 7.69723 1641 360.80
325.82 8.000000 2.239955E-2 0.672170  1.011E-4 7.69642 1710 363.10
327.09 8.000000 2.242111E-2 0.671833  1.014E-4 7.69876 1778 365.35
328.50 8.000000 2.244523E-2 0.671532  1.013E-4 7.69770 1847 367.65
329.91 8.000000 2.245575E-2 0.671201  1.014E-4 7.69850 1915 369.90
331.38 8.000000 2.243637E-2 0.670818  1.014E-4 7.69927 1984 372.20
332.88 8.000000 2.244245E-2 0.670437  1.014E-4 7.69966 2052 374.50
334.43 8.000000 2.243493E-2 0.670038  1.015E-4 7.69880 2121 376.80
336.02 8.000000 2.242962E-2 0.669675  1.016E-4 7.69915 2189 379.10
337.66 8.000000 2.243561E-2 0.669298  1.016E-4 7.70008 2258 381.45
339.33 8.000000 2.244208E-2 0.668941  1.017E-4 7.69964 2326 383.70
341.03 8.000000 2.245316E-2 0.668597  1.017E-4 7.69993 2395 385.95
342.76 8.000000 2.244234E-2 0.668258  1.019E-4 7.70104 2463 388.20
344.58 8.000000 2.242311E-2 0.667900  1.018E-4 7.70063 2532 390.50
346.36 8.000000 2.242083E-2 0.667556  1.019E-4 7.70175 2600 392.85
348.24 8.000000 2.238260E-2 0.667152  1.020E-4 7.70173 2669 395.20
350.16 8.000000 2.239738E-2 0.666797  1.021E-4 7.70282 2737 397.50
352.13 8.000000 2.240104E-2 0.666430  1.020E-4 7.70306 2806 399.75
354.13 8.000000 2.238128E-2 0.666046  1.022E-4 7.70354 2874 402.00
356.17 8.000000 2.237954E-2 0.665671  1.021E-4 7.70384 2943 404.30
358.26 8.000000 2.237285E-2 0.665306  1.023E-4 7.70465 3011 406.60
360.35 8.000000 2.235766E-2 0.664896  1.024E-4 7.70535 3080 408.80
362.50 8.000000 2.237407E-2 0.664531  1.023E-4 7.70653 3149 411.10
364.67 8.000000 2.237746E-2 0.664138  1.025E-4 7.70721 3217 413.35
366.86 8.000000 2.237207E-2 0.663737  1.025E-4 7.70855 3286 415.65
369.08 8.000000 2.237600E-2 0.663306  1.026E-4 7.70981 3354 417.90
371.32 8.000000 2.234804E-2 0.662820  1.027E-4 7.71163 3423 420.20
373.59 8.000000 2.230916E-2 0.662405  1.028E-4 7.71298 3492 422.50
375.88 8.000000 2.227273E-2 0.662013  1.028E-4 7.71503 3560 424.85
378.19 8.000000 2.230615E-2 0.661671  1.029E-4 7.71648 3629 427.15
380.54 8.000000 2.235758E-2 0.661338  1.029E-4 7.71898 3697 429.55
382.89 8.000000 2.240290E-2 0.660954  1.029E-4 7.72093 3766 431.85
385.27 8.000000 2.245972E-2 0.660537  1.029E-4 7.72288 3835 434.20
387.66 8.000000 2.249593E-2 0.660081  1.031E-4 7.72613 3903 436.50
390.07 8.000000 2.255485E-2 0.659632  1.031E-4 7.72801 3972 438.80
392.49 8.000000 2.260151E-2 0.659178  1.033E-4 7.73127 4040 441.10
394.96 8.000000 2.263202E-2 0.658658  1.033E-4 7.73411 4109 443.35
397.44 8.000000 2.265582E-2 0.658186  1.034E-4 7.73688 4178 445.60
399.93 8.000000 2.272565E-2 0.657718  1.034E-4 7.73985 4246 447.75
402.44 8.000000 2.282187E-2 0.657273  1.036E-4 7.74429 4315 449.90
404.96 8.000000 2.295384E-2 0.656821  1.036E-4 7.74718 4383 452.05
407.48 8.000000 2.307834E-2 0.656301  1.037E-4 7.75061 4452 454.30
410.04 8.000000 2.319384E-2 0.655800  1.038E-4 7.75425 4521 456.50
412.63 8.000000 2.335897E-2 0.655281  1.038E-4 7.75784 4589 458.85
415.24 8.000000 2.354183E-2 0.654744  1.039E-4 7.76173 4658 461.15
417.90 8.000000 2.375236E-2 0.654174  1.040E-4 7.76651 4726 463.50
420.57 8.000000 2.399332E-2 0.653566  1.041E-4 7.77034 4795 465.80
423.27 8.000000 2.426940E-2 0.652953  1.042E-4 7.77472 4864 468.10
425.99 8.000000 2.458099E-2 0.652347  1.044E-4 7.77926 4932 470.45
428.75 8.000000 2.499284E-2 0.651694  1.045E-4 7.78413 5001 472.80
431.50 8.000000 2.545043E-2 0.651045  1.046E-4 7.78904 5069 475.10
434.24 8.000000 2.598057E-2 0.650337  1.047E-4 7.79456 5138 477.40
436.98 8.000000 2.661570E-2 0.649594  1.048E-4 7.79923 5207 479.65
439.70 8.000000 2.733747E-2 0.648827  1.050E-4 7.80427 5275 481.95
442.40 8.000000 2.813769E-2 0.648008  1.050E-4 7.81038 5344 484.25
445.09 8.000000 2.904297E-2 0.647143  1.051E-4 7.81527 5412 486.55
447.74 8.000000 2.997641E-2 0.646200  1.053E-4 7.82029 5481 488.85
450.39 8.000000 3.099586E-2 0.645167  1.055E-4 7.82545 5550 491.20
453.03 8.000000 3.207225E-2 0.644023  1.058E-4 7.83169 5618 493.50
455.66 8.000000 3.323001E-2 0.642797  1.059E-4 7.83776 5687 495.80
458.29 8.000000 3.437862E-2 0.641501  1.061E-4 7.84314 5755 498.15
460.92 8.000000 3.548998E-2 0.640099  1.063E-4 7.84886 5824 500.40
463.53 8.000000 3.646487E-2 0.638581  1.066E-4 7.85558 5893 502.70
466.14 8.000000 3.745931E-2 0.637020  1.068E-4 7.86098 5961 504.95
468.75 8.000000 3.837139E-2 0.635401  1.071E-4 7.86683 6030 507.10
471.35 8.000000 3.911650E-2 0.633679  1.074E-4 7.87339 6098 509.30
473.95 8.000000 3.975473E-2 0.631877  1.077E-4 7.88000 6167 511.60
476.55 8.000000 4.027534E-2 0.630034  1.080E-4 7.88642 6236 513.90
479.16 8.000000 4.062928E-2 0.628181  1.084E-4 7.89380 6304 516.15
481.77 8.000000 4.073112E-2 0.626309  1.086E-4 7.89965 6373 518.45
484.39 8.000000 4.064642E-2 0.624412  1.089E-4 7.90725 6441 520.80
487.03 8.000000 4.043057E-2 0.622600  1.093E-4 7.91471 6510 523.15
489.66 8.000000 4.004378E-2 0.620850  1.096E-4 7.92114 6579 525.45
492.32 8.000000 3.947032E-2 0.619152  1.099E-4 7.92797 6647 527.80
494.96 8.000000 3.882270E-2 0.617542  1.101E-4 7.93410 6716 530.00
497.60 8.000000 3.809529E-2 0.616038  1.105E-4 7.94077 6784 532.30
500.23 8.000000 3.730195E-2 0.614631  1.107E-4 7.94822 6853 534.60
502.83 8.000000 3.647929E-2 0.613340  1.110E-4 7.95417 6922 536.90
505.45 8.000000 3.564587E-2 0.612140  1.112E-4 7.96076 6990 539.20
507.97 8.000000 3.478735E-2 0.611035  1.113E-4 7.96713 7059 541.50
